-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         1.96%     625.242ms       100.00%       31.895s       15.947s       0.000us         0.00%       34.178s       17.089s     708.27 MB     -24.30 MB     390.05 MB     -17.97 GB             2  
                                       aten::linalg_svd         0.00%     280.996us        66.84%       21.318s     666.172ms       0.000us         0.00%       31.420s     981.871ms           0 B           0 B     350.56 MB           0 B            32  
                                      aten::_linalg_svd         1.04%     330.263ms        66.84%       21.317s     666.163ms        5.286s        44.39%       31.420s     981.871ms           0 B      -4.00 KB     350.56 MB      64.54 MB            32  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       24.788s       208.18%       24.788s       24.788s           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel         6.21%        1.981s         7.73%        2.467s       4.398us       0.000us         0.00%       14.372s      25.624us           0 B           0 B           0 B           0 B        560857  
                                           Buffer Flush         0.04%      12.007ms         0.04%      12.125ms     205.515us        8.763s        73.59%        8.763s     148.521ms       4.60 KB       4.60 KB      32.50 KB      32.50 KB            59  
                                Activity Buffer Request         0.33%     106.406ms         0.33%     106.406ms       1.935ms        7.610s        63.91%        7.610s     138.360ms           0 B           0 B           0 B           0 B            55  
                       Runtime Triggered Module Loading         1.43%     455.198ms         1.43%     455.198ms       5.058ms        5.295s        44.47%        5.295s      58.839ms           0 B           0 B           0 B           0 B            90  
                                  Lazy Function Loading         0.01%       4.129ms         0.01%       4.129ms      43.010us        4.467s        37.52%        4.467s      46.534ms           0 B           0 B           0 B           0 B            96  
                       Memcpy HtoD (Pageable -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us        3.864s        32.45%        3.864s      12.505ms           0 B           0 B           0 B           0 B           309  
