CUDA_VISIBLE_DEVICES: 0
Available GPUs: 1
Current device: 0
Loading model and tokenizer once at the start...
Starting fold 1
Training and evaluating model with k=10
step=0 loss=9.739862e+03
step=5 loss=3.582466e+03
step=10 loss=2.323939e+03
step=15 loss=1.407184e+03
step=20 loss=7.994645e+02
step=25 loss=7.882504e+02
step=30 loss=1.064690e+03
step=35 loss=9.679174e+02
step=40 loss=5.861365e+02
step=45 loss=5.738691e+02
step=50 loss=4.048683e+02
step=55 loss=8.089336e+01
step=60 loss=3.021409e+02
step=65 loss=5.989887e+02
step=70 loss=1.468089e+02
step=75 loss=3.408302e+02
step=80 loss=1.294067e+02
step=85 loss=3.570366e+02
step=90 loss=1.269616e+02
step=95 loss=1.291449e+02
Training and evaluating model with k=15
step=0 loss=1.118127e+03
step=5 loss=3.074121e+02
step=10 loss=3.209297e+02
step=15 loss=2.122581e+02
step=20 loss=1.856046e+02
step=25 loss=9.502644e+01
step=30 loss=1.056766e+02
step=35 loss=1.285991e+02
step=40 loss=4.456771e+01
step=45 loss=7.056126e+01
step=50 loss=6.893107e+01
step=55 loss=9.216218e+00
step=60 loss=3.494818e+01
step=65 loss=7.809093e+01
step=70 loss=1.248678e+01
step=75 loss=3.626950e+01
step=80 loss=2.320638e+01
step=85 loss=1.860939e+01
step=90 loss=1.910796e+01
step=95 loss=1.170670e+01
Training and evaluating model with k=20
step=0 loss=7.261375e+02
step=5 loss=4.792271e+02
step=10 loss=1.952702e+02
step=15 loss=1.778064e+02
step=20 loss=8.002313e+01
step=25 loss=8.580205e+01
step=30 loss=1.178484e+02
step=35 loss=7.627584e+01
step=40 loss=4.285690e+01
step=45 loss=6.893967e+01
step=50 loss=5.098081e+01
step=55 loss=5.288628e+00
step=60 loss=1.833241e+01
step=65 loss=2.022795e+01
step=70 loss=1.001787e+01
step=75 loss=2.145131e+01
step=80 loss=1.887073e+01
step=85 loss=9.444047e+00
step=90 loss=1.620298e+01
step=95 loss=1.092184e+01
Training and evaluating model with k=25
step=0 loss=1.325320e+03
step=5 loss=2.953856e+02
step=10 loss=3.176052e+02
step=15 loss=3.088271e+02
step=20 loss=1.633541e+02
step=25 loss=1.873682e+02
step=30 loss=1.391421e+02
step=35 loss=9.589684e+01
step=40 loss=1.225088e+02
step=45 loss=6.634928e+01
step=50 loss=8.350209e+01
step=55 loss=8.885929e+00
step=60 loss=5.588810e+01
step=65 loss=3.467637e+01
step=70 loss=1.421146e+01
step=75 loss=4.674346e+01
step=80 loss=3.169397e+01
step=85 loss=2.471873e+01
step=90 loss=1.659204e+01
step=95 loss=2.101333e+01
Training and evaluating model with k=30
step=0 loss=2.459143e+02
step=5 loss=1.595838e+02
step=10 loss=1.425203e+02
step=15 loss=1.316280e+02
step=20 loss=9.929794e+01
step=25 loss=5.990577e+01
step=30 loss=4.496468e+01
step=35 loss=6.677028e+01
step=40 loss=4.516633e+01
step=45 loss=4.133379e+01
step=50 loss=7.147658e+01
step=55 loss=7.649632e+00
step=60 loss=3.023852e+01
step=65 loss=4.263614e+01
step=70 loss=1.314182e+01
step=75 loss=3.255999e+01
step=80 loss=2.800109e+01
step=85 loss=1.407760e+01
step=90 loss=2.074433e+01
step=95 loss=2.132129e+01
Training and evaluating model with k=35
step=0 loss=1.810734e+03
step=5 loss=3.687392e+02
step=10 loss=1.080651e+02
step=15 loss=1.415797e+02
step=20 loss=1.240475e+02
step=25 loss=8.099938e+01
step=30 loss=6.275586e+01
step=35 loss=5.456369e+01
step=40 loss=5.238667e+01
step=45 loss=3.176189e+01
step=50 loss=3.293520e+01
step=55 loss=4.672000e+00
step=60 loss=2.110849e+01
step=65 loss=1.193157e+01
step=70 loss=6.246820e+00
step=75 loss=1.527065e+01
step=80 loss=1.521996e+01
step=85 loss=8.764082e+00
step=90 loss=1.282773e+01
step=95 loss=1.073031e+01
Training and evaluating model with k=40
step=0 loss=3.450630e+02
step=5 loss=1.474094e+02
step=10 loss=1.427812e+02
step=15 loss=9.092924e+01
step=20 loss=1.243766e+02
step=25 loss=6.035066e+01
step=30 loss=6.703021e+01
step=35 loss=3.683905e+01
step=40 loss=3.021106e+01
step=45 loss=3.803889e+01
step=50 loss=3.526094e+01
step=55 loss=7.081372e+00
step=60 loss=1.412760e+01
step=65 loss=1.380870e+01
step=70 loss=7.139658e+00
step=75 loss=5.507135e+01
step=80 loss=1.040896e+01
step=85 loss=3.833668e+01
step=90 loss=1.873222e+01
step=95 loss=1.253926e+01
Training and evaluating model with k=45
step=0 loss=2.220395e+03
step=5 loss=9.917662e+02
step=10 loss=6.448002e+02
step=15 loss=4.282756e+02
step=20 loss=2.180438e+02
step=25 loss=1.931333e+02
step=30 loss=1.174077e+02
step=35 loss=9.192091e+01
step=40 loss=6.133379e+01
step=45 loss=4.388423e+01
step=50 loss=2.915759e+01
step=55 loss=6.385789e+00
step=60 loss=3.478937e+01
step=65 loss=1.852693e+01
step=70 loss=4.629812e+00
step=75 loss=9.484550e+00
step=80 loss=1.125379e+01
step=85 loss=7.622626e+00
step=90 loss=7.258664e+00
step=95 loss=5.799990e+00
Training and evaluating model with k=50
step=0 loss=7.845412e+02
step=5 loss=7.131930e+01
step=10 loss=4.350328e+01
step=15 loss=4.876897e+01
step=20 loss=2.947496e+01
step=25 loss=3.658138e+01
step=30 loss=2.865438e+01
step=35 loss=1.106082e+01
step=40 loss=1.214396e+01
step=45 loss=6.871887e+00
step=50 loss=1.287500e+01
step=55 loss=2.613873e+00
step=60 loss=4.032165e+00
step=65 loss=5.237894e+00
step=70 loss=1.273599e+00
step=75 loss=3.404808e+00
step=80 loss=3.126419e+00
step=85 loss=2.367382e+00
step=90 loss=1.830363e+00
step=95 loss=2.227231e+00
Training and evaluating model with k=55
step=0 loss=1.693295e+03
step=5 loss=5.191552e+02
step=10 loss=1.749508e+02
step=15 loss=6.075781e+01
step=20 loss=7.210059e+01
step=25 loss=3.539027e+01
step=30 loss=3.878020e+01
step=35 loss=1.644601e+01
step=40 loss=1.480666e+01
step=45 loss=1.430514e+01
step=50 loss=1.249468e+01
step=55 loss=1.724398e+00
step=60 loss=8.648484e+00
step=65 loss=6.741403e+00
step=70 loss=2.266061e+00
step=75 loss=5.700318e+00
step=80 loss=4.062279e+00
step=85 loss=3.990741e+00
step=90 loss=6.061134e+00
step=95 loss=4.268462e+00
Training and evaluating model with k=60
step=0 loss=2.961797e+02
step=5 loss=2.246172e+02
step=10 loss=1.245709e+02
step=15 loss=7.887729e+01
step=20 loss=8.170832e+01
step=25 loss=4.022678e+01
step=30 loss=5.271157e+01
step=35 loss=2.516234e+01
step=40 loss=1.669475e+01
step=45 loss=1.915521e+01
step=50 loss=1.109267e+01
step=55 loss=2.032900e+00
step=60 loss=7.080141e+00
step=65 loss=1.006249e+01
step=70 loss=3.492327e+00
step=75 loss=5.100195e+00
step=80 loss=3.468019e+00
step=85 loss=7.663593e+00
step=90 loss=3.483995e+00
step=95 loss=7.038885e+00
Training and evaluating model with k=65
step=0 loss=1.441717e+02
step=5 loss=7.776075e+01
step=10 loss=3.653092e+01
step=15 loss=1.977175e+01
step=20 loss=4.757160e+01
step=25 loss=1.354642e+01
step=30 loss=2.560820e+01
step=35 loss=1.451037e+01
step=40 loss=1.058465e+01
step=45 loss=1.112861e+01
step=50 loss=3.863640e+00
step=55 loss=1.382089e+00
step=60 loss=4.604339e+00
step=65 loss=6.490700e+00
step=70 loss=1.435541e+00
step=75 loss=3.006342e+00
step=80 loss=1.968140e+00
step=85 loss=1.556885e+00
step=90 loss=1.191369e+00
step=95 loss=1.326895e+00
Training and evaluating model with k=70
step=0 loss=1.169212e+02
step=5 loss=5.394892e+01
step=10 loss=2.759695e+01
step=15 loss=3.432070e+01
step=20 loss=2.809857e+01
step=25 loss=2.284360e+01
step=30 loss=1.663784e+01
step=35 loss=1.396778e+01
step=40 loss=1.003621e+01
step=45 loss=6.173597e+00
step=50 loss=1.495310e+01
step=55 loss=2.098417e+00
step=60 loss=5.260769e+00
step=65 loss=3.751995e+00
step=70 loss=2.180693e+00
step=75 loss=3.110133e+00
step=80 loss=4.055499e+00
step=85 loss=2.223160e+00
step=90 loss=1.380929e+00
step=95 loss=3.240241e+00
Training and evaluating model with k=75
step=0 loss=9.276409e+02
step=5 loss=2.066946e+02
step=10 loss=1.081307e+02
step=15 loss=7.910741e+01
step=20 loss=7.084933e+01
step=25 loss=2.110881e+01
step=30 loss=2.362808e+01
step=35 loss=1.608639e+01
step=40 loss=1.031123e+01
step=45 loss=1.018658e+01
step=50 loss=8.840602e+00
step=55 loss=1.499200e+00
step=60 loss=5.448081e+00
step=65 loss=8.098353e+00
step=70 loss=2.099775e+00
step=75 loss=3.288862e+00
step=80 loss=4.415178e+00
step=85 loss=3.151178e+00
step=90 loss=3.936220e+00
step=95 loss=5.969750e+00
Training and evaluating model with k=80
step=0 loss=5.473967e+02
step=5 loss=1.499560e+02
step=10 loss=9.705516e+01
step=15 loss=8.044178e+01
step=20 loss=3.355120e+01
step=25 loss=5.710373e+01
step=30 loss=2.606463e+01
step=35 loss=1.390374e+01
step=40 loss=1.389839e+01
step=45 loss=8.805704e+00
step=50 loss=6.169921e+00
step=55 loss=1.111099e+00
step=60 loss=4.679379e+00
step=65 loss=3.592535e+00
step=70 loss=1.215432e+00
step=75 loss=2.878335e+00
step=80 loss=2.303841e+00
step=85 loss=2.271901e+00
step=90 loss=2.720925e+00
step=95 loss=2.552646e+00
Training and evaluating model with k=85
step=0 loss=1.029518e+03
step=5 loss=2.798493e+02
step=10 loss=1.239702e+02
step=15 loss=5.221489e+01
step=20 loss=3.385228e+01
step=25 loss=3.385571e+01
step=30 loss=2.565436e+01
step=35 loss=1.504354e+01
step=40 loss=1.602619e+01
step=45 loss=1.464998e+01
step=50 loss=1.006798e+01
step=55 loss=1.162137e+00
step=60 loss=5.113583e+00
step=65 loss=4.274656e+00
step=70 loss=1.502250e+00
step=75 loss=3.285200e+00
step=80 loss=5.109074e+00
step=85 loss=3.146879e+00
step=90 loss=3.336547e+00
step=95 loss=2.657402e+00
Training and evaluating model with k=90
step=0 loss=6.598168e+01
step=5 loss=3.130238e+01
step=10 loss=2.207500e+01
step=15 loss=1.229183e+01
step=20 loss=2.082055e+01
step=25 loss=7.417370e+00
step=30 loss=9.347628e+00
step=35 loss=8.386344e+00
step=40 loss=3.493574e+00
step=45 loss=6.860594e+00
step=50 loss=2.590236e+00
step=55 loss=5.703743e-01
step=60 loss=2.960948e+00
step=65 loss=6.208294e+00
step=70 loss=3.980905e-01
step=75 loss=1.282907e+00
step=80 loss=1.032461e+00
step=85 loss=8.970317e-01
step=90 loss=8.737034e-01
step=95 loss=5.767908e-01
Training and evaluating model with k=95
step=0 loss=4.712962e+02
step=5 loss=5.863450e+01
step=10 loss=4.819016e+01
step=15 loss=3.912298e+01
step=20 loss=2.638647e+01
step=25 loss=1.067233e+01
step=30 loss=9.378467e+00
step=35 loss=8.196548e+00
step=40 loss=4.606534e+00
step=45 loss=5.401551e+00
step=50 loss=3.977509e+00
step=55 loss=9.444000e-01
step=60 loss=1.868239e+00
step=65 loss=2.498807e+00
step=70 loss=5.671419e-01
step=75 loss=1.457055e+00
step=80 loss=1.632423e+00
step=85 loss=1.241912e+00
step=90 loss=1.183070e+00
step=95 loss=1.299883e+00
Training and evaluating model with k=100
step=0 loss=4.006407e+02
step=5 loss=5.744535e+01
step=10 loss=4.861152e+01
step=15 loss=4.447204e+01
step=20 loss=1.715822e+01
step=25 loss=1.890666e+01
step=30 loss=1.449737e+01
step=35 loss=6.911159e+00
step=40 loss=4.485899e+00
step=45 loss=5.147970e+00
step=50 loss=7.124820e+00
step=55 loss=5.956525e-01
step=60 loss=2.362626e+00
step=65 loss=2.280508e+00
step=70 loss=6.581398e-01
step=75 loss=1.267886e+00
step=80 loss=1.341577e+00
step=85 loss=1.017179e+00
step=90 loss=9.246204e-01
step=95 loss=1.066622e+00
Starting fold 2
Training and evaluating model with k=10
step=0 loss=4.410681e+03
step=5 loss=1.814440e+03
step=10 loss=7.437791e+02
step=15 loss=3.999973e+02
step=20 loss=4.181365e+02
step=25 loss=2.714666e+02
step=30 loss=2.336516e+02
step=35 loss=2.022907e+02
step=40 loss=3.038056e+02
step=45 loss=3.540051e+02
step=50 loss=2.968650e+02
step=55 loss=4.398714e+01
step=60 loss=1.850888e+02
step=65 loss=1.727322e+02
step=70 loss=6.080832e+01
step=75 loss=1.718517e+02
step=80 loss=1.158132e+02
step=85 loss=1.172633e+02
step=90 loss=1.576277e+02
step=95 loss=1.540206e+02
Training and evaluating model with k=15
step=0 loss=6.214393e+03
step=5 loss=2.275513e+03
step=10 loss=5.021124e+02
step=15 loss=4.037370e+02
step=20 loss=3.086744e+02
step=25 loss=3.452039e+02
step=30 loss=2.453690e+02
step=35 loss=2.210853e+02
step=40 loss=1.980256e+02
step=45 loss=2.563513e+02
step=50 loss=1.533438e+02
step=55 loss=3.428620e+01
step=60 loss=1.390892e+02
step=65 loss=1.165983e+02
step=70 loss=3.309811e+01
step=75 loss=9.082513e+01
step=80 loss=7.081838e+01
step=85 loss=5.373711e+01
step=90 loss=4.985550e+01
step=95 loss=4.040322e+01
Training and evaluating model with k=20
step=0 loss=3.478770e+02
step=5 loss=1.974326e+02
step=10 loss=2.458969e+02
step=15 loss=2.106834e+02
step=20 loss=1.743022e+02
step=25 loss=9.655350e+01
step=30 loss=9.051920e+01
step=35 loss=8.873963e+01
step=40 loss=9.798559e+01
step=45 loss=7.763049e+01
step=50 loss=8.569656e+01
step=55 loss=1.546032e+01
step=60 loss=3.673145e+01
step=65 loss=7.042197e+01
step=70 loss=1.181688e+01
step=75 loss=3.050019e+01
step=80 loss=3.897229e+01
step=85 loss=2.843969e+01
step=90 loss=2.548920e+01
step=95 loss=1.302703e+01
Training and evaluating model with k=25
step=0 loss=6.889428e+02
step=5 loss=2.365566e+02
step=10 loss=2.258419e+02
step=15 loss=1.148099e+02
step=20 loss=1.622232e+02
step=25 loss=6.629259e+01
step=30 loss=1.275886e+02
step=35 loss=9.744065e+01
step=40 loss=6.132796e+01
step=45 loss=5.371121e+01
step=50 loss=4.657912e+01
step=55 loss=7.238741e+00
step=60 loss=4.953242e+01
step=65 loss=2.575922e+01
step=70 loss=1.044036e+01
step=75 loss=1.643097e+01
step=80 loss=2.707932e+01
step=85 loss=1.998021e+01
step=90 loss=1.459370e+01
step=95 loss=1.072043e+01
Training and evaluating model with k=30
step=0 loss=1.380786e+03
step=5 loss=2.227388e+02
step=10 loss=2.828788e+02
step=15 loss=2.003987e+02
step=20 loss=1.285746e+02
step=25 loss=1.130102e+02
step=30 loss=1.681558e+02
step=35 loss=9.383348e+01
step=40 loss=5.887221e+01
step=45 loss=4.194746e+01
step=50 loss=3.493399e+01
step=55 loss=6.776933e+00
step=60 loss=2.908917e+01
step=65 loss=3.083545e+01
step=70 loss=7.843081e+00
step=75 loss=1.416427e+01
step=80 loss=2.068411e+01
step=85 loss=1.269092e+01
step=90 loss=3.033698e+01
step=95 loss=1.158111e+01
Training and evaluating model with k=35
step=0 loss=9.844852e+01
step=5 loss=1.271167e+02
step=10 loss=7.700145e+01
step=15 loss=6.492560e+01
step=20 loss=4.989828e+01
step=25 loss=3.773280e+01
step=30 loss=3.940631e+01
step=35 loss=2.044994e+01
step=40 loss=1.944171e+01
step=45 loss=1.671224e+01
step=50 loss=2.503970e+01
step=55 loss=1.974418e+00
step=60 loss=1.128616e+01
step=65 loss=9.488367e+00
step=70 loss=2.676745e+00
step=75 loss=7.116636e+00
step=80 loss=7.549012e+00
step=85 loss=5.020821e+00
step=90 loss=4.565154e+00
step=95 loss=2.719392e+00
Training and evaluating model with k=40
step=0 loss=1.763195e+03
step=5 loss=5.567145e+02
step=10 loss=1.463623e+02
step=15 loss=3.344903e+01
step=20 loss=4.033918e+01
step=25 loss=6.270208e+01
step=30 loss=4.219641e+01
step=35 loss=3.051839e+01
step=40 loss=2.711918e+01
step=45 loss=2.428135e+01
step=50 loss=2.393342e+01
step=55 loss=2.529173e+00
step=60 loss=1.254213e+01
step=65 loss=7.742892e+00
step=70 loss=4.409116e+00
step=75 loss=9.003489e+00
step=80 loss=4.496930e+00
step=85 loss=4.450197e+00
step=90 loss=3.515021e+00
step=95 loss=3.766391e+00
Training and evaluating model with k=45
step=0 loss=2.253821e+03
step=5 loss=8.038394e+02
step=10 loss=1.725515e+02
step=15 loss=9.858692e+01
step=20 loss=5.062382e+01
step=25 loss=5.260904e+01
step=30 loss=3.930555e+01
step=35 loss=3.736586e+01
step=40 loss=4.740029e+01
step=45 loss=2.258348e+01
step=50 loss=2.127092e+01
step=55 loss=4.084211e+00
step=60 loss=1.610628e+01
step=65 loss=1.383440e+01
step=70 loss=8.399937e+00
step=75 loss=1.397097e+01
step=80 loss=1.034669e+01
step=85 loss=8.834877e+00
step=90 loss=7.505947e+00
step=95 loss=6.893275e+00
Training and evaluating model with k=50
step=0 loss=4.189691e+02
step=5 loss=1.296922e+02
step=10 loss=1.794574e+02
step=15 loss=4.846471e+01
