CUDA_VISIBLE_DEVICES: 0
Available GPUs: 1
Current device: 0
Loading model and tokenizer once at the start...
Starting fold 1
Training and evaluating model with k=10
step=0 loss=4.676031e+03
step=5 loss=2.419503e+03
step=10 loss=1.310284e+03
step=15 loss=8.260612e+02
step=20 loss=7.528999e+02
step=25 loss=6.522410e+02
step=30 loss=4.808496e+02
step=35 loss=3.953095e+02
step=40 loss=3.452522e+02
step=45 loss=3.100698e+02
step=50 loss=2.017659e+02
step=55 loss=7.662955e+01
step=60 loss=1.549165e+02
step=65 loss=2.397691e+02
step=70 loss=6.681096e+01
step=75 loss=2.192646e+02
step=80 loss=1.278308e+02
step=85 loss=1.581323e+02
step=90 loss=1.359987e+02
step=95 loss=7.703179e+01
Training and evaluating model with k=15
step=0 loss=3.318247e+02
step=5 loss=3.605965e+02
step=10 loss=2.479593e+02
step=15 loss=2.160617e+02
step=20 loss=1.416940e+02
step=25 loss=1.651389e+02
step=30 loss=1.051873e+02
step=35 loss=2.376181e+02
step=40 loss=1.130040e+02
step=45 loss=1.458346e+02
step=50 loss=1.327489e+02
step=55 loss=2.325189e+01
step=60 loss=5.456056e+01
step=65 loss=1.045012e+02
step=70 loss=4.120514e+01
step=75 loss=8.132492e+01
step=80 loss=8.204910e+01
step=85 loss=7.197118e+01
step=90 loss=5.216153e+01
step=95 loss=5.138704e+01
Training and evaluating model with k=20
step=0 loss=2.101774e+02
step=5 loss=1.302888e+02
step=10 loss=1.073566e+02
step=15 loss=6.536411e+01
step=20 loss=7.131506e+01
step=25 loss=3.791653e+01
step=30 loss=5.863155e+01
step=35 loss=5.614593e+01
step=40 loss=4.260532e+01
step=45 loss=2.237164e+01
step=50 loss=1.836863e+01
step=55 loss=2.799988e+00
step=60 loss=1.348359e+01
step=65 loss=1.888625e+01
step=70 loss=4.651324e+00
step=75 loss=9.640200e+00
step=80 loss=1.202426e+01
step=85 loss=1.329127e+01
step=90 loss=8.098675e+00
step=95 loss=3.893438e+00
Training and evaluating model with k=25
step=0 loss=1.166264e+03
step=5 loss=3.844815e+02
step=10 loss=2.084753e+02
step=15 loss=1.846298e+02
step=20 loss=1.033671e+02
step=25 loss=6.154358e+01
step=30 loss=5.228243e+01
step=35 loss=9.057292e+01
step=40 loss=3.416488e+01
step=45 loss=3.474171e+01
step=50 loss=5.315887e+01
step=55 loss=8.108605e+00
step=60 loss=1.919996e+01
step=65 loss=2.353475e+01
step=70 loss=9.328923e+00
step=75 loss=2.015788e+01
step=80 loss=2.123564e+01
step=85 loss=1.604959e+01
step=90 loss=1.154715e+01
step=95 loss=1.111051e+01
Training and evaluating model with k=30
step=0 loss=3.382346e+03
step=5 loss=8.645267e+02
step=10 loss=3.492972e+02
step=15 loss=2.312434e+02
step=20 loss=1.406259e+02
step=25 loss=1.698606e+02
step=30 loss=1.129547e+02
step=35 loss=1.276990e+02
step=40 loss=9.347518e+01
step=45 loss=5.144268e+01
step=50 loss=6.324768e+01
step=55 loss=1.324519e+01
step=60 loss=4.288984e+01
step=65 loss=4.020362e+01
step=70 loss=1.743378e+01
step=75 loss=3.713046e+01
step=80 loss=4.746394e+01
step=85 loss=2.187840e+01
step=90 loss=3.198031e+01
step=95 loss=1.494928e+01
Training and evaluating model with k=35
step=0 loss=4.006825e+02
step=5 loss=2.312484e+02
step=10 loss=2.087398e+02
step=15 loss=1.245387e+02
step=20 loss=1.216910e+02
step=25 loss=7.758749e+01
step=30 loss=9.663277e+01
step=35 loss=3.752985e+01
step=40 loss=5.078901e+01
step=45 loss=4.079871e+01
step=50 loss=3.304086e+01
step=55 loss=5.412200e+00
step=60 loss=2.784545e+01
step=65 loss=3.371350e+01
step=70 loss=6.501548e+00
step=75 loss=1.354250e+01
step=80 loss=1.004029e+01
step=85 loss=1.111249e+01
step=90 loss=1.408951e+01
step=95 loss=1.421654e+01
Training and evaluating model with k=40
step=0 loss=1.782749e+03
step=5 loss=3.624394e+02
step=10 loss=1.165874e+02
step=15 loss=6.047392e+01
step=20 loss=2.983945e+01
step=25 loss=4.152265e+01
step=30 loss=2.726813e+01
step=35 loss=2.554936e+01
step=40 loss=2.434797e+01
step=45 loss=1.500086e+01
step=50 loss=1.728696e+01
step=55 loss=1.984594e+00
step=60 loss=9.032789e+00
step=65 loss=7.614374e+00
step=70 loss=2.939993e+00
step=75 loss=7.908635e+00
step=80 loss=6.686517e+00
step=85 loss=6.209346e+00
step=90 loss=3.616949e+00
step=95 loss=3.882896e+00
Training and evaluating model with k=45
step=0 loss=3.174338e+02
step=5 loss=1.564313e+02
step=10 loss=6.336514e+01
step=15 loss=6.758044e+01
step=20 loss=3.414280e+01
step=25 loss=5.296331e+01
step=30 loss=2.661593e+01
step=35 loss=1.979329e+01
step=40 loss=2.824005e+01
step=45 loss=1.607040e+01
step=50 loss=1.396116e+01
step=55 loss=2.418464e+00
step=60 loss=7.895952e+00
step=65 loss=6.951488e+00
step=70 loss=2.781359e+00
step=75 loss=5.473124e+00
step=80 loss=7.138128e+00
step=85 loss=3.814217e+00
step=90 loss=3.301641e+00
step=95 loss=2.621247e+00
Training and evaluating model with k=50
step=0 loss=1.414373e+03
step=5 loss=2.200654e+02
step=10 loss=1.019313e+02
step=15 loss=8.202609e+01
step=20 loss=1.153422e+02
step=25 loss=8.489570e+01
step=30 loss=7.532240e+01
step=35 loss=3.914008e+01
step=40 loss=2.876573e+01
step=45 loss=2.584504e+01
step=50 loss=2.128043e+01
step=55 loss=3.850436e+00
step=60 loss=1.750136e+01
step=65 loss=2.240852e+01
step=70 loss=4.718174e+00
step=75 loss=9.646663e+00
step=80 loss=9.296694e+00
step=85 loss=5.044049e+00
step=90 loss=6.246192e+00
step=95 loss=7.110442e+00
Training and evaluating model with k=55
step=0 loss=3.877574e+02
step=5 loss=1.362193e+02
step=10 loss=1.497739e+02
step=15 loss=6.146980e+01
step=20 loss=4.008652e+01
step=25 loss=2.504648e+01
step=30 loss=3.152450e+01
step=35 loss=2.548446e+01
step=40 loss=2.610267e+01
step=45 loss=1.338456e+01
step=50 loss=9.423775e+00
step=55 loss=2.054840e+00
step=60 loss=6.151017e+00
step=65 loss=6.302462e+00
step=70 loss=1.319643e+00
step=75 loss=5.261562e+00
step=80 loss=4.139556e+00
step=85 loss=3.233121e+00
step=90 loss=2.253416e+00
step=95 loss=3.751293e+00
Training and evaluating model with k=60
step=0 loss=7.341988e+02
step=5 loss=1.164833e+02
step=10 loss=5.763842e+01
step=15 loss=6.040422e+01
step=20 loss=6.319802e+01
step=25 loss=1.920884e+01
step=30 loss=2.025704e+01
step=35 loss=3.552754e+01
step=40 loss=1.757896e+01
step=45 loss=6.697320e+00
step=50 loss=1.034553e+01
step=55 loss=1.453132e+00
step=60 loss=3.324377e+00
step=65 loss=5.935189e+00
step=70 loss=3.086390e+00
step=75 loss=4.445175e+00
step=80 loss=3.428961e+00
step=85 loss=3.742652e+00
step=90 loss=2.611860e+00
step=95 loss=3.135426e+00
Training and evaluating model with k=65
step=0 loss=1.886503e+02
step=5 loss=1.048345e+02
step=10 loss=4.327934e+01
step=15 loss=2.533258e+01
step=20 loss=3.904945e+01
step=25 loss=2.788227e+01
step=30 loss=9.203663e+00
step=35 loss=9.524122e+00
step=40 loss=1.040518e+01
step=45 loss=9.040487e+00
step=50 loss=4.823030e+00
step=55 loss=1.514020e+00
step=60 loss=5.254237e+00
step=65 loss=8.197601e+00
step=70 loss=1.653701e+00
step=75 loss=1.606814e+00
step=80 loss=2.773347e+00
step=85 loss=2.157596e+00
step=90 loss=1.853117e+00
step=95 loss=2.061747e+00
Training and evaluating model with k=70
step=0 loss=1.352578e+03
step=5 loss=3.987151e+02
step=10 loss=1.506920e+02
step=15 loss=4.748978e+01
step=20 loss=4.158878e+01
step=25 loss=2.843356e+01
step=30 loss=4.529222e+01
step=35 loss=3.721576e+01
step=40 loss=1.655785e+01
step=45 loss=1.927290e+01
step=50 loss=1.077666e+01
step=55 loss=1.792547e+00
step=60 loss=7.240156e+00
step=65 loss=9.570995e+00
step=70 loss=1.874213e+00
step=75 loss=5.404803e+00
step=80 loss=8.888366e+00
step=85 loss=3.522710e+00
step=90 loss=3.734015e+00
step=95 loss=2.889564e+00
Training and evaluating model with k=75
step=0 loss=9.354538e+02
step=5 loss=1.936156e+02
step=10 loss=6.591826e+01
step=15 loss=5.193328e+01
step=20 loss=2.918896e+01
step=25 loss=1.978294e+01
step=30 loss=1.401558e+01
step=35 loss=9.097943e+00
step=40 loss=1.346793e+01
step=45 loss=6.959072e+00
step=50 loss=1.069424e+01
step=55 loss=1.249629e+00
step=60 loss=4.694417e+00
step=65 loss=4.235839e+00
step=70 loss=9.975877e-01
step=75 loss=2.947496e+00
step=80 loss=2.919092e+00
step=85 loss=2.851770e+00
step=90 loss=2.063613e+00
step=95 loss=2.683287e+00
Training and evaluating model with k=80
step=0 loss=6.031365e+02
step=5 loss=9.249484e+01
step=10 loss=5.523067e+01
step=15 loss=5.404070e+01
step=20 loss=3.475748e+01
step=25 loss=1.859668e+01
step=30 loss=1.603809e+01
step=35 loss=1.255818e+01
step=40 loss=1.311736e+01
step=45 loss=8.777642e+00
step=50 loss=6.732038e+00
step=55 loss=1.180151e+00
step=60 loss=3.971434e+00
step=65 loss=2.239451e+00
step=70 loss=1.486819e+00
step=75 loss=3.009542e+00
step=80 loss=2.033933e+00
step=85 loss=2.004227e+00
step=90 loss=1.559635e+00
step=95 loss=1.974476e+00
Training and evaluating model with k=85
step=0 loss=4.107950e+02
step=5 loss=5.075537e+01
step=10 loss=6.064024e+01
step=15 loss=6.165393e+01
step=20 loss=3.252950e+01
step=25 loss=2.066801e+01
step=30 loss=2.026262e+01
step=35 loss=1.486006e+01
step=40 loss=1.286578e+01
step=45 loss=6.399149e+00
step=50 loss=8.663299e+00
step=55 loss=1.103034e+00
step=60 loss=3.244401e+00
step=65 loss=3.058221e+00
step=70 loss=1.145530e+00
step=75 loss=2.896180e+00
step=80 loss=2.534404e+00
step=85 loss=2.905958e+00
step=90 loss=2.081961e+00
step=95 loss=2.031894e+00
Training and evaluating model with k=90
step=0 loss=4.134765e+02
step=5 loss=4.210409e+01
step=10 loss=6.273471e+01
step=15 loss=3.542432e+01
step=20 loss=3.459895e+01
step=25 loss=1.361730e+01
step=30 loss=1.352052e+01
step=35 loss=7.527426e+00
step=40 loss=5.434769e+00
step=45 loss=4.966856e+00
step=50 loss=4.853243e+00
step=55 loss=7.905774e-01
step=60 loss=3.146292e+00
step=65 loss=1.827059e+00
step=70 loss=4.857447e-01
step=75 loss=1.515314e+00
step=80 loss=1.729479e+00
step=85 loss=8.058529e-01
step=90 loss=9.373184e-01
step=95 loss=1.048664e+00
Training and evaluating model with k=95
step=0 loss=2.411978e+01
step=5 loss=3.018151e+01
step=10 loss=1.365001e+01
step=15 loss=9.547122e+00
step=20 loss=1.284117e+01
step=25 loss=7.341326e+00
step=30 loss=7.082928e+00
step=35 loss=5.614753e+00
step=40 loss=4.843249e+00
step=45 loss=3.095476e+00
step=50 loss=2.019547e+00
step=55 loss=2.645442e-01
step=60 loss=1.202696e+00
step=65 loss=1.811074e+00
step=70 loss=2.994303e-01
step=75 loss=1.170195e+00
step=80 loss=7.416158e-01
step=85 loss=6.413404e-01
step=90 loss=6.440258e-01
step=95 loss=4.427453e-01
Training and evaluating model with k=100
step=0 loss=1.531838e+02
step=5 loss=9.019881e+01
step=10 loss=4.115395e+01
step=15 loss=3.200484e+01
step=20 loss=2.022715e+01
step=25 loss=1.346426e+01
step=30 loss=8.729230e+00
step=35 loss=1.087038e+01
step=40 loss=9.850299e+00
step=45 loss=6.498739e+00
step=50 loss=4.202813e+00
step=55 loss=5.790162e-01
step=60 loss=3.699819e+00
step=65 loss=3.584047e+00
step=70 loss=6.180406e-01
step=75 loss=2.200364e+00
step=80 loss=2.953987e+00
step=85 loss=1.296997e+00
step=90 loss=2.346106e+00
step=95 loss=1.137662e+00
Starting fold 2
Training and evaluating model with k=10
step=0 loss=5.408975e+02
step=5 loss=3.899518e+02
step=10 loss=1.830986e+02
step=15 loss=3.687710e+02
step=20 loss=1.502189e+02
step=25 loss=9.728119e+01
step=30 loss=1.020065e+02
step=35 loss=6.656214e+01
step=40 loss=5.871566e+01
step=45 loss=4.287931e+01
step=50 loss=5.309244e+01
step=55 loss=9.923163e+00
step=60 loss=4.512689e+01
step=65 loss=3.680276e+01
step=70 loss=9.048087e+00
step=75 loss=1.670266e+01
step=80 loss=1.733118e+01
step=85 loss=2.120927e+01
step=90 loss=2.575883e+01
step=95 loss=1.176882e+01
Training and evaluating model with k=15
step=0 loss=5.417169e+02
step=5 loss=4.871077e+02
step=10 loss=2.669338e+02
step=15 loss=1.752417e+02
step=20 loss=1.589163e+02
step=25 loss=1.378337e+02
step=30 loss=1.883576e+02
step=35 loss=1.907538e+02
step=40 loss=6.723544e+01
step=45 loss=8.658240e+01
step=50 loss=8.381680e+01
step=55 loss=2.439283e+01
step=60 loss=1.104186e+02
step=65 loss=9.454678e+01
step=70 loss=2.532381e+01
step=75 loss=4.506041e+01
step=80 loss=7.533860e+01
step=85 loss=5.395009e+01
step=90 loss=4.975922e+01
step=95 loss=4.302147e+01
Training and evaluating model with k=20
step=0 loss=5.931307e+02
step=5 loss=1.945901e+02
step=10 loss=1.272546e+02
step=15 loss=9.293781e+01
step=20 loss=7.123470e+01
step=25 loss=4.819582e+01
step=30 loss=4.252354e+01
step=35 loss=4.407563e+01
step=40 loss=4.675753e+01
step=45 loss=3.725750e+01
step=50 loss=2.435695e+01
step=55 loss=9.591199e+00
step=60 loss=1.675105e+01
step=65 loss=1.252640e+01
step=70 loss=5.690810e+00
step=75 loss=1.129161e+01
step=80 loss=1.405686e+01
step=85 loss=9.997375e+00
step=90 loss=9.866343e+00
step=95 loss=7.083154e+00
Training and evaluating model with k=25
step=0 loss=3.784445e+02
step=5 loss=2.747824e+02
step=10 loss=1.941404e+02
step=15 loss=1.348540e+02
step=20 loss=1.210237e+02
step=25 loss=1.076288e+02
step=30 loss=1.278245e+02
step=35 loss=9.485493e+01
step=40 loss=5.481581e+01
step=45 loss=6.239211e+01
step=50 loss=4.838128e+01
step=55 loss=1.232663e+01
step=60 loss=3.106169e+01
step=65 loss=2.253797e+01
step=70 loss=9.497126e+00
step=75 loss=1.642447e+01
step=80 loss=1.631630e+01
step=85 loss=1.043859e+01
step=90 loss=1.381109e+01
step=95 loss=7.749175e+00
Training and evaluating model with k=30
step=0 loss=1.372738e+02
step=5 loss=8.920535e+01
step=10 loss=1.065807e+02
step=15 loss=1.255322e+02
step=20 loss=9.043680e+01
step=25 loss=6.602610e+01
step=30 loss=6.408189e+01
step=35 loss=5.184312e+01
step=40 loss=5.518288e+01
step=45 loss=4.218282e+01
step=50 loss=2.965583e+01
step=55 loss=5.216058e+00
step=60 loss=1.730091e+01
step=65 loss=1.428783e+01
step=70 loss=5.393433e+00
step=75 loss=1.145265e+01
step=80 loss=1.097281e+01
step=85 loss=2.499761e+01
step=90 loss=8.441446e+00
step=95 loss=6.614684e+00
Training and evaluating model with k=35
step=0 loss=7.489225e+02
step=5 loss=1.472706e+02
step=10 loss=1.151242e+02
step=15 loss=6.045087e+01
step=20 loss=4.018323e+01
step=25 loss=7.908559e+01
step=30 loss=3.891209e+01
step=35 loss=3.012380e+01
step=40 loss=1.884551e+01
step=45 loss=1.623071e+01
step=50 loss=1.648463e+01
step=55 loss=2.830869e+00
step=60 loss=1.194745e+01
step=65 loss=1.404726e+01
step=70 loss=2.841366e+00
step=75 loss=6.401310e+00
step=80 loss=6.403207e+00
step=85 loss=6.041941e+00
step=90 loss=5.530974e+00
step=95 loss=3.490801e+00
Training and evaluating model with k=40
step=0 loss=3.457776e+02
step=5 loss=1.006786e+02
step=10 loss=1.340580e+02
step=15 loss=1.094321e+02
step=20 loss=5.619278e+01
step=25 loss=3.935933e+01
step=30 loss=7.639928e+01
step=35 loss=6.057486e+01
step=40 loss=3.854602e+01
step=45 loss=2.697662e+01
step=50 loss=3.409422e+01
step=55 loss=4.611336e+00
step=60 loss=1.026042e+01
step=65 loss=1.305083e+01
step=70 loss=3.503149e+00
step=75 loss=6.245171e+00
step=80 loss=7.271348e+00
step=85 loss=7.727085e+00
step=90 loss=8.009647e+00
step=95 loss=5.215397e+00
Training and evaluating model with k=45
step=0 loss=4.454151e+02
step=5 loss=2.161782e+02
step=10 loss=1.194857e+02
step=15 loss=8.564536e+01
step=20 loss=8.587245e+01
step=25 loss=3.296561e+01
step=30 loss=3.663739e+01
step=35 loss=3.570192e+01
step=40 loss=1.633109e+01
step=45 loss=1.199134e+01
step=50 loss=1.179366e+01
step=55 loss=1.531705e+00
step=60 loss=1.034872e+01
step=65 loss=6.974248e+00
step=70 loss=2.407467e+00
step=75 loss=5.965472e+00
step=80 loss=1.030608e+01
step=85 loss=3.582339e+00
step=90 loss=3.747302e+00
step=95 loss=2.722593e+00
Training and evaluating model with k=50
step=0 loss=1.236397e+03
step=5 loss=3.863863e+02
step=10 loss=1.523234e+02
step=15 loss=8.898209e+01
