-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.18%      48.004ms         0.18%      48.955ms       5.394us       0.000us         0.00%       0.000us       0.000us      17.91 KB      17.91 KB      16.13 GB      16.13 GB          9076  
                                    aten::empty_strided         0.13%      35.230ms         0.13%      35.556ms       7.517us       0.000us         0.00%       0.000us       0.000us       4.30 KB       4.30 KB       3.09 GB       3.09 GB          4730  
                                              aten::mul         0.50%     134.667ms         0.82%     223.500ms      27.173us      29.255ms         0.29%      29.343ms       3.568us       1.31 KB       1.33 KB       2.22 GB       2.22 GB          8225  
                                              aten::div         0.00%       1.075ms         0.00%       1.302ms     162.769us       0.000us         0.00%       0.000us       0.000us       1.00 KB       1.02 KB           0 B           0 B             8  
                                       aten::reciprocal         0.00%     516.144us         0.00%     692.164us     115.361us       0.000us         0.00%       0.000us       0.000us         768 B         768 B           0 B           0 B             6  
                                              aten::sub         0.04%      11.398ms         0.06%      17.676ms      27.446us       2.134ms         0.02%       2.136ms       3.317us         512 B         520 B       2.72 MB       2.72 MB           644  
                                            aten::where         0.08%      20.956ms         0.40%     108.834ms      84.762us       2.439ms         0.02%       5.961ms       4.643us         512 B         512 B       1.70 MB    -310.00 KB          1284  
                                          aten::resize_         0.05%      13.689ms         0.05%      14.123ms       5.111us       0.000us         0.00%       0.000us       0.000us         512 B         512 B       8.61 MB       8.61 MB          2763  
                                              aten::add         0.26%      72.040ms         0.46%     124.620ms      26.241us      11.959ms         0.12%      12.005ms       2.528us         256 B         264 B     450.57 MB     450.57 MB          4749  
                                              aten::pow         0.11%      30.241ms         0.27%      72.277ms      52.834us       3.558ms         0.04%       3.595ms       2.628us         256 B         260 B     539.38 MB     539.38 MB          1368  
