company,page,clusters,rmse
Barclays,1,2,0.617762652196597
Barclays,1,5,0.6192349079371782
Barclays,1,8,0.7518099147450262
Barclays,1,12,0.49367270264612745
Barclays,1,15,0.5718553973648325
Barclays,1,18,0.5410237190208997
Barclays,1,22,0.5736627388504175
Barclays,1,25,0.5846117889198073
Barclays,1,29,0.5470772433257144
Barclays,1,32,0.6190200673839481
Barclays,1,35,0.6548471194653314
Barclays,1,39,0.591513335411214
Barclays,1,42,0.5288643566397754
Barclays,1,45,0.5717427220886659
Barclays,1,49,0.5665238384504042
Barclays,1,52,0.5754638761615388
Barclays,1,56,0.594481333820073
Barclays,1,59,0.5745875432234344
Barclays,1,62,0.561821442200566
Barclays,1,66,0.597561770571144
Barclays,1,69,0.5959984850755424
Barclays,1,72,0.5899090764894117
Barclays,1,76,0.5828173541431081
Barclays,1,79,0.5872123899525333
Barclays,1,83,0.5798785277932021
Barclays,1,86,0.5668689288086486
Barclays,1,89,0.5902052345443332
Barclays,1,93,0.6028177096235974
Barclays,1,96,0.580354353416565
Barclays,1,100,0.5817784508507166
Barclays,2,2,0.7533179146303739
Barclays,2,5,0.7900532572540072
Barclays,2,8,0.7882372275150471
Barclays,2,12,0.7468732662927052
Barclays,2,15,0.8264753752520367
Barclays,2,18,0.7755733701264549
Barclays,2,22,0.7942446462227196
Barclays,2,25,0.8108931905399599
Barclays,2,29,0.8229798909892957
Barclays,2,32,0.8090362288585831
Barclays,2,35,0.7882186604151911
Barclays,2,39,0.7997576271738004
Barclays,2,42,0.8057610846824259
Barclays,2,45,0.8127990672309643
Barclays,2,49,0.7464291282979545
Barclays,2,52,0.8087286199953017
Barclays,2,56,0.851715262269573
Barclays,2,59,0.8094112490033641
Barclays,2,62,0.7962345131494273
Barclays,2,66,0.7974020037947053
Barclays,2,69,0.7967402672976998
Barclays,2,72,0.8469075824064537
Barclays,2,76,0.7814509303010141
Barclays,2,79,0.7644170528171959
Barclays,2,83,0.779090396453562
Barclays,2,86,0.831098161251589
Barclays,2,89,0.7923889142034497
Barclays,2,93,0.7591478096702629
Barclays,2,96,0.8326900121245494
Barclays,2,100,0.826927676278192
Barclays,3,2,0.7616938469379504
Barclays,3,5,0.8521309203629499
Barclays,3,8,0.7529997836156369
Barclays,3,12,0.8308197413067917
Barclays,3,15,0.8095413379017246
Barclays,3,18,0.7633643045272424
Barclays,3,22,0.9162029751548727
Barclays,3,25,0.7731479344616949
Barclays,3,29,0.8484411011526993
Barclays,3,32,0.8505999464629653
Barclays,3,35,0.8012336903022201
Barclays,3,39,0.8741652561023684
Barclays,3,42,0.8199186644976276
Barclays,3,45,0.8109768963878612
Barclays,3,49,0.8417165063271046
Barclays,3,52,0.8183275586723646
Barclays,3,56,0.7955859877811856
Barclays,3,59,0.8194853604127181
Barclays,3,62,0.824342692931996
Barclays,3,66,0.8303250470016802
Barclays,3,69,0.80612793359476
Barclays,3,72,0.8011741149412157
Barclays,3,76,0.7975714715801375
Barclays,3,79,0.884985438399119
Barclays,3,83,0.7906987346257052
Barclays,3,86,0.8022772276715011
Barclays,3,89,0.8313984235098656
Barclays,3,93,0.8282034099841535
Barclays,3,96,0.8534821367625747
Barclays,3,100,0.8451145746576686
Barclays,4,2,0.6704818954181762
Barclays,4,5,0.649999569662002
Barclays,4,8,0.7093266783995392
Barclays,4,12,0.6913734126536139
Barclays,4,15,0.7461051424195237
Barclays,4,18,0.7453332765741734
Barclays,4,22,0.6593501367071398
Barclays,4,25,0.6457420292098726
Barclays,4,29,0.7585565414180879
