clusters,mean,std,min,max
1,0.9336856944668712,0.024390386615884708,0.866282103412681,1.0022345792543674
2,0.9403134084849238,0.02769659055712987,0.8730699210753847,1.0126664989151966
4,0.9503827347042776,0.05264984531995524,0.8558367654358804,1.1895138921216006
8,0.9556257328445009,0.07270850341803092,0.8152054707816246,1.2959227035261878
16,0.9853382256046653,0.13927659221990205,0.7923105064614724,2.212902445986689
32,1.0349257463277877,0.18938706380792378,0.7126461856885626,2.458744203106427
64,1.053499199083512,0.19858303375275213,0.711065403677442,1.895846177102848
128,1.098222993794967,0.27290951030910887,0.6615883222743817,2.1420627775756396
256,1.0543586228911201,0.23834298498798276,0.6467145208386729,1.93410137819869
512,1.0243972260534835,0.23274314701152862,0.6325540519840017,1.9311956171549456
