company,page,method,k,rmse
Barclays,1,method_1,1,0.4660770354066377
Barclays,1,method_1,4,0.37427537288853124
Barclays,1,method_1,7,0.36697806165603675
Barclays,1,method_1,10,0.3378578490314828
Barclays,1,method_1,13,0.28363042094805346
Barclays,1,method_1,16,0.26384331493882823
Barclays,1,method_1,19,0.24909861154487478
Barclays,1,method_1,22,0.24101093808399088
Barclays,1,method_1,25,0.224082862322823
Barclays,1,method_1,28,0.20402634347560766
Barclays,1,method_1,31,0.19833096736709688
Barclays,1,method_1,34,0.16540115968373023
Barclays,1,method_1,37,0.1353354628458689
Barclays,1,method_1,40,0.1180993245139531
Barclays,1,method_1,43,0.11952347217759866
Barclays,1,method_1,46,0.11566637927483359
Barclays,1,method_1,49,0.11728365295361114
Barclays,1,method_1,52,0.1117633723517214
Barclays,1,method_1,55,0.09039726843612922
Barclays,1,method_1,58,0.09510335746724154
Barclays,1,method_1,61,0.09448857143668823
Barclays,1,method_1,64,0.08773457510529033
Barclays,1,method_1,67,0.08253303590786289
Barclays,1,method_1,70,0.07722115758669852
Barclays,1,method_1,73,0.07200159312850546
Barclays,1,method_1,77,0.06758510864114915
Barclays,1,method_1,80,0.05541207619821869
Barclays,1,method_1,83,0.048875001608234506
Barclays,1,method_1,86,0.029744327217959433
Barclays,1,method_1,89,0.024680317009468825
Barclays,1,method_1,92,0.01790142933925574
Barclays,1,method_1,95,0.015601297659023574
Barclays,1,method_1,98,0.01354204378325612
Barclays,1,method_1,101,0.008743074914006837
Barclays,1,method_1,104,0.007773077998120231
Barclays,1,method_1,107,0.007122894269862996
Barclays,1,method_1,110,0.00555646276226294
Barclays,1,method_1,113,0.003801791312959423
Barclays,1,method_1,116,0.002264920373853771
Barclays,1,method_1,119,0.0014605114976964208
Barclays,1,method_1,122,9.543506801197075e-06
Barclays,1,method_1,125,9.543506801197075e-06
Barclays,1,method_1,128,9.543506801197075e-06
Barclays,1,method_1,131,9.543506801197075e-06
Barclays,1,method_1,134,9.543506801197075e-06
Barclays,1,method_1,137,9.543506801197075e-06
Barclays,1,method_1,140,9.543506801197075e-06
Barclays,1,method_1,143,9.543506801197075e-06
Barclays,1,method_1,146,9.543506801197075e-06
Barclays,1,method_1,150,9.543506801197075e-06
Barclays,1,method_2,1,0.7213190033569001
Barclays,1,method_2,4,0.5174992522056546
Barclays,1,method_2,7,0.476933522439609
Barclays,1,method_2,10,0.42585961564947955
Barclays,1,method_2,13,0.38604979714039783
Barclays,1,method_2,16,0.34895497234630846
Barclays,1,method_2,19,0.316072413348993
Barclays,1,method_2,22,0.3082666897060393
Barclays,1,method_2,25,0.28855664638117434
Barclays,1,method_2,28,0.2653942912563588
Barclays,1,method_2,31,0.2539938574012252
Barclays,1,method_2,34,0.21958528171656075
Barclays,1,method_2,37,0.19575148338242707
Barclays,1,method_2,40,0.17005616486566213
Barclays,1,method_2,43,0.16312442057754364
Barclays,1,method_2,46,0.1533693852965492
Barclays,1,method_2,49,0.14981087313206698
Barclays,1,method_2,52,0.14098650442522254
Barclays,1,method_2,55,0.1218993189940756
Barclays,1,method_2,58,0.12161102544290545
Barclays,1,method_2,61,0.11789401678086216
Barclays,1,method_2,64,0.10782813845230396
Barclays,1,method_2,67,0.09861247391345157
Barclays,1,method_2,70,0.09238087017047952
Barclays,1,method_2,73,0.08542788161599475
Barclays,1,method_2,77,0.07796617559047322
Barclays,1,method_2,80,0.06610904091092991
Barclays,1,method_2,83,0.05848243037043599
Barclays,1,method_2,86,0.04152601570678115
Barclays,1,method_2,89,0.036754246261335555
Barclays,1,method_2,92,0.030785514817598014
Barclays,1,method_2,95,0.027958865064833072
Barclays,1,method_2,98,0.02405659076492727
Barclays,1,method_2,101,0.016390394113403234
Barclays,1,method_2,104,0.014423798233456612
Barclays,1,method_2,107,0.012126890675613712
Barclays,1,method_2,110,0.01027191875468179
Barclays,1,method_2,113,0.007058634029454812
Barclays,1,method_2,116,0.005145376165694435
Barclays,1,method_2,119,0.002171862030464267
Barclays,1,method_2,122,2.087187821364934e-05
Barclays,1,method_2,125,2.087187821364934e-05
Barclays,1,method_2,128,2.087187821364934e-05
Barclays,1,method_2,131,2.087187821364934e-05
Barclays,1,method_2,134,2.087187821364934e-05
Barclays,1,method_2,137,2.087187821364934e-05
Barclays,1,method_2,140,2.087187821364934e-05
Barclays,1,method_2,143,2.087187821364934e-05
Barclays,1,method_2,146,2.087187821364934e-05
Barclays,1,method_2,150,2.087187821364934e-05
Barclays,1,method_3,1,0.6808651162164149
Barclays,1,method_3,4,0.4474591496196999
Barclays,1,method_3,7,0.4410376516802339
Barclays,1,method_3,10,0.3860720410408946
Barclays,1,method_3,13,0.347447125626303
Barclays,1,method_3,16,0.33920238529286995
Barclays,1,method_3,19,0.3088648504340881
Barclays,1,method_3,22,0.2907946235852083
Barclays,1,method_3,25,0.27370826904022416
Barclays,1,method_3,28,0.2534152251150044
Barclays,1,method_3,31,0.25036001858785617
Barclays,1,method_3,34,0.22723567697036037
Barclays,1,method_3,37,0.20804551291839252
Barclays,1,method_3,40,0.19219406171710693
Barclays,1,method_3,43,0.1869102801034674
Barclays,1,method_3,46,0.18278166567754325
Barclays,1,method_3,49,0.17706251703732703
Barclays,1,method_3,52,0.17161527999903817
Barclays,1,method_3,55,0.15520465616559248
Barclays,1,method_3,58,0.15620466482117892
Barclays,1,method_3,61,0.1525030510409956
Barclays,1,method_3,64,0.14703760848773129
Barclays,1,method_3,67,0.14415956257554352
Barclays,1,method_3,70,0.14097146549767875
Barclays,1,method_3,73,0.1367034480468717
Barclays,1,method_3,77,0.12568222910753707
Barclays,1,method_3,80,0.11826841777950936
Barclays,1,method_3,83,0.11007314431714452
Barclays,1,method_3,86,0.09962713106201755
Barclays,1,method_3,89,0.09071825328453405
Barclays,1,method_3,92,0.08676560699820604
Barclays,1,method_3,95,0.08286292996898842
Barclays,1,method_3,98,0.06988370879956662
Barclays,1,method_3,101,0.06414631958128046
Barclays,1,method_3,104,0.05305693022862091
Barclays,1,method_3,107,0.04877041561053452
Barclays,1,method_3,110,0.044399822507589934
Barclays,1,method_3,113,0.03653313703735601
Barclays,1,method_3,116,0.032079602135846964
Barclays,1,method_3,119,0.026204306513716732
Barclays,1,method_3,122,3.06847557897783e-05
Barclays,1,method_3,125,3.06847557897783e-05
Barclays,1,method_3,128,3.06847557897783e-05
Barclays,1,method_3,131,3.06847557897783e-05
Barclays,1,method_3,134,3.06847557897783e-05
Barclays,1,method_3,137,3.06847557897783e-05
Barclays,1,method_3,140,3.06847557897783e-05
Barclays,1,method_3,143,3.06847557897783e-05
Barclays,1,method_3,146,3.06847557897783e-05
Barclays,1,method_3,150,3.06847557897783e-05
Barclays,1,method_4,1,0.7173183719765026
Barclays,1,method_4,4,0.4918121004713192
Barclays,1,method_4,7,0.41514489100375984
Barclays,1,method_4,10,0.3611185070518187
Barclays,1,method_4,13,0.32827486844541004
Barclays,1,method_4,16,0.2836890945028549
Barclays,1,method_4,19,0.24522706087855398
Barclays,1,method_4,22,0.2326711527321581
Barclays,1,method_4,25,0.22001184302921142
Barclays,1,method_4,28,0.19933977905406278
Barclays,1,method_4,31,0.18554023849461343
Barclays,1,method_4,34,0.1624667488518863
Barclays,1,method_4,37,0.1528092133601677
Barclays,1,method_4,40,0.13097375157616614
Barclays,1,method_4,43,0.11998793725921449
Barclays,1,method_4,46,0.1082854216075168
Barclays,1,method_4,49,0.1009100186197162
Barclays,1,method_4,52,0.0923325898914997
Barclays,1,method_4,55,0.08549103269911719
Barclays,1,method_4,58,0.07989897404910871
Barclays,1,method_4,61,0.07462693428841388
Barclays,1,method_4,64,0.06589452146599815
Barclays,1,method_4,67,0.0569509312550358
Barclays,1,method_4,70,0.052840181068358985
Barclays,1,method_4,73,0.048065663088308404
Barclays,1,method_4,77,0.0407208632290911
Barclays,1,method_4,80,0.0373342422980532
Barclays,1,method_4,83,0.03296862855326458
Barclays,1,method_4,86,0.02932888074261322
Barclays,1,method_4,89,0.02735721331226821
Barclays,1,method_4,92,0.025107542336630356
Barclays,1,method_4,95,0.023229440781208168
Barclays,1,method_4,98,0.019901770809383032
Barclays,1,method_4,101,0.013869591446268054
Barclays,1,method_4,104,0.01215395439801256
Barclays,1,method_4,107,0.00981618697481559
Barclays,1,method_4,110,0.008641085014030648
Barclays,1,method_4,113,0.005947909040801288
Barclays,1,method_4,116,0.004620364977561308
Barclays,1,method_4,119,0.001607570349290643
Barclays,1,method_4,122,1.4677244744504287e-05
Barclays,1,method_4,125,1.4677244744504287e-05
Barclays,1,method_4,128,1.4677244744504287e-05
Barclays,1,method_4,131,1.4677244744504287e-05
Barclays,1,method_4,134,1.4677244744504287e-05
Barclays,1,method_4,137,1.4677244744504287e-05
Barclays,1,method_4,140,1.4677244744504287e-05
Barclays,1,method_4,143,1.4677244744504287e-05
Barclays,1,method_4,146,1.4677244744504287e-05
Barclays,1,method_4,150,1.4677244744504287e-05
Barclays,2,method_1,1,0.5329100708377923
Barclays,2,method_1,4,0.4184121520761162
Barclays,2,method_1,7,0.4381836391502839
Barclays,2,method_1,10,0.41477629487780954
Barclays,2,method_1,13,0.39020926271667006
Barclays,2,method_1,16,0.3679984619053393
Barclays,2,method_1,19,0.3476761257220885
Barclays,2,method_1,22,0.3624727308718873
Barclays,2,method_1,25,0.33952529905300505
Barclays,2,method_1,28,0.31036152525645383
Barclays,2,method_1,31,0.2828839026769107
Barclays,2,method_1,34,0.2716188286103155
Barclays,2,method_1,37,0.26959443513768355
Barclays,2,method_1,40,0.26710466895863294
Barclays,2,method_1,43,0.24289901552585652
Barclays,2,method_1,46,0.24113889672212205
Barclays,2,method_1,49,0.22945163442457983
Barclays,2,method_1,52,0.2315437235696892
Barclays,2,method_1,55,0.21330202200882603
Barclays,2,method_1,58,0.19739445064465888
Barclays,2,method_1,61,0.16826011042183306
Barclays,2,method_1,64,0.16554610780483003
Barclays,2,method_1,67,0.16161080004390127
Barclays,2,method_1,70,0.15712800787348458
Barclays,2,method_1,73,0.14751634319537313
Barclays,2,method_1,77,0.13460031448496546
Barclays,2,method_1,80,0.13007303281912855
Barclays,2,method_1,83,0.12007237755459475
Barclays,2,method_1,86,0.12025000204477246
Barclays,2,method_1,89,0.11624025789269485
Barclays,2,method_1,92,0.09723064925384817
Barclays,2,method_1,95,0.09572482009808309
Barclays,2,method_1,98,0.09286819223949476
Barclays,2,method_1,101,0.08252965470990863
Barclays,2,method_1,104,0.08114548555229266
Barclays,2,method_1,107,0.07164507229509164
Barclays,2,method_1,110,0.06340217409138155
Barclays,2,method_1,113,0.05449171975059168
Barclays,2,method_1,116,0.05238067348057445
Barclays,2,method_1,119,0.03364769403552862
Barclays,2,method_1,122,0.01968605788302832
Barclays,2,method_1,125,0.013401518791186284
Barclays,2,method_1,128,1.303867951592537e-05
Barclays,2,method_1,131,1.303867951592537e-05
Barclays,2,method_1,134,1.303867951592537e-05
Barclays,2,method_1,137,1.303867951592537e-05
Barclays,2,method_1,140,1.303867951592537e-05
Barclays,2,method_1,143,1.303867951592537e-05
Barclays,2,method_1,146,1.303867951592537e-05
Barclays,2,method_1,150,1.303867951592537e-05
Barclays,2,method_2,1,0.8039723056779843
Barclays,2,method_2,4,0.5727808306897261
Barclays,2,method_2,7,0.5248343088616902
Barclays,2,method_2,10,0.4772585965987718
Barclays,2,method_2,13,0.45403351755706367
Barclays,2,method_2,16,0.4255119461529604
Barclays,2,method_2,19,0.40715445134633504
Barclays,2,method_2,22,0.4110777509260773
Barclays,2,method_2,25,0.3866982223165329
Barclays,2,method_2,28,0.3647422292960218
Barclays,2,method_2,31,0.3422620717883771
Barclays,2,method_2,34,0.33110084453657596
Barclays,2,method_2,37,0.3220387088387713
Barclays,2,method_2,40,0.3171304299803868
Barclays,2,method_2,43,0.2953305394408706
Barclays,2,method_2,46,0.2870230003117999
Barclays,2,method_2,49,0.2722760910180262
Barclays,2,method_2,52,0.270559294567286
Barclays,2,method_2,55,0.2535430100316089
Barclays,2,method_2,58,0.23867500739923583
Barclays,2,method_2,61,0.2127975816411457
Barclays,2,method_2,64,0.2034641732358818
Barclays,2,method_2,67,0.19789985750376057
Barclays,2,method_2,70,0.18756058908376602
Barclays,2,method_2,73,0.1778553789966204
Barclays,2,method_2,77,0.16070436651210931
Barclays,2,method_2,80,0.1540010686252639
Barclays,2,method_2,83,0.14241632802116064
Barclays,2,method_2,86,0.14004444942070865
Barclays,2,method_2,89,0.1345500824560681
Barclays,2,method_2,92,0.11726041451254235
Barclays,2,method_2,95,0.11285747113888035
Barclays,2,method_2,98,0.10778082938782967
Barclays,2,method_2,101,0.09653218389398134
Barclays,2,method_2,104,0.09261971013895354
Barclays,2,method_2,107,0.08251272455460158
Barclays,2,method_2,110,0.07293306878398484
Barclays,2,method_2,113,0.06290356388740571
Barclays,2,method_2,116,0.058787109512214386
Barclays,2,method_2,119,0.041313586942780506
Barclays,2,method_2,122,0.026610193771535128
Barclays,2,method_2,125,0.018631030693991055
Barclays,2,method_2,128,2.0953600033298067e-05
Barclays,2,method_2,131,2.0953600033298067e-05
Barclays,2,method_2,134,2.0953600033298067e-05
Barclays,2,method_2,137,2.0953600033298067e-05
Barclays,2,method_2,140,2.0953600033298067e-05
Barclays,2,method_2,143,2.0953600033298067e-05
Barclays,2,method_2,146,2.0953600033298067e-05
Barclays,2,method_2,150,2.0953600033298067e-05
Barclays,2,method_3,1,0.7408209617548177
Barclays,2,method_3,4,0.5074261607306839
Barclays,2,method_3,7,0.49683886545666817
Barclays,2,method_3,10,0.47012427396744944
Barclays,2,method_3,13,0.43948248998996997
Barclays,2,method_3,16,0.4188365680748204
Barclays,2,method_3,19,0.4037230396116916
Barclays,2,method_3,22,0.3868866341819197
Barclays,2,method_3,25,0.37545182652268255
Barclays,2,method_3,28,0.3639665926719189
Barclays,2,method_3,31,0.34161051725540537
Barclays,2,method_3,34,0.3340623581977424
Barclays,2,method_3,37,0.3294382838991871
Barclays,2,method_3,40,0.32571522792177193
Barclays,2,method_3,43,0.3111140927266207
Barclays,2,method_3,46,0.3074940073258812
Barclays,2,method_3,49,0.2966935694000981
Barclays,2,method_3,52,0.29651733164503025
Barclays,2,method_3,55,0.28134944547829377
Barclays,2,method_3,58,0.2721975684247422
Barclays,2,method_3,61,0.25542814695606
Barclays,2,method_3,64,0.2544490822091219
Barclays,2,method_3,67,0.24815970065837495
Barclays,2,method_3,70,0.244292502547371
Barclays,2,method_3,73,0.23437747442236273
Barclays,2,method_3,77,0.22535397479616268
Barclays,2,method_3,80,0.2219484512462387
Barclays,2,method_3,83,0.21375841194856898
Barclays,2,method_3,86,0.21104089883009622
Barclays,2,method_3,89,0.20601051828330216
Barclays,2,method_3,92,0.19564483075007413
Barclays,2,method_3,95,0.19203979740322558
Barclays,2,method_3,98,0.19080152237532208
Barclays,2,method_3,101,0.18562484627082138
Barclays,2,method_3,104,0.18266958291318933
Barclays,2,method_3,107,0.17773736244144725
Barclays,2,method_3,110,0.17420854097297025
Barclays,2,method_3,113,0.17103619372692802
Barclays,2,method_3,116,0.16786136140586577
Barclays,2,method_3,119,0.1611884227168035
Barclays,2,method_3,122,0.15756772063126093
Barclays,2,method_3,125,0.15670878891014847
Barclays,2,method_3,128,0.14828570764844073
Barclays,2,method_3,131,0.14034447423101878
Barclays,2,method_3,134,0.13427040067369328
Barclays,2,method_3,137,0.12467135424356089
Barclays,2,method_3,140,0.11921729674956137
Barclays,2,method_3,143,0.11241566060077075
Barclays,2,method_3,146,0.10740013228381608
Barclays,2,method_3,150,0.09904630911131254
Barclays,2,method_4,1,0.7901439577517152
Barclays,2,method_4,4,0.5417079800150697
Barclays,2,method_4,7,0.4551287090411411
Barclays,2,method_4,10,0.3788304550438107
Barclays,2,method_4,13,0.3524411262526058
Barclays,2,method_4,16,0.32335342693444413
Barclays,2,method_4,19,0.3049906925316692
Barclays,2,method_4,22,0.28926513015211786
Barclays,2,method_4,25,0.26926533700182553
Barclays,2,method_4,28,0.25675638109630694
Barclays,2,method_4,31,0.24573639663222688
Barclays,2,method_4,34,0.23591872507524786
Barclays,2,method_4,37,0.22054797596192627
Barclays,2,method_4,40,0.20931664769301742
Barclays,2,method_4,43,0.198021568545837
Barclays,2,method_4,46,0.18360996974794702
Barclays,2,method_4,49,0.17119912976490456
Barclays,2,method_4,52,0.16347043922021154
Barclays,2,method_4,55,0.1560364539504441
Barclays,2,method_4,58,0.1498489396637804
Barclays,2,method_4,61,0.1418020339172997
Barclays,2,method_4,64,0.12913727097501038
Barclays,2,method_4,67,0.12419050341176487
Barclays,2,method_4,70,0.11137247889147792
Barclays,2,method_4,73,0.10720341427112773
Barclays,2,method_4,77,0.09460270283323215
Barclays,2,method_4,80,0.08875003403248452
Barclays,2,method_4,83,0.08177742084889936
Barclays,2,method_4,86,0.07679923225023955
Barclays,2,method_4,89,0.07212582811170833
Barclays,2,method_4,92,0.06813901908834985
Barclays,2,method_4,95,0.06207694670098116
Barclays,2,method_4,98,0.056553890682636804
Barclays,2,method_4,101,0.05138302424993186
Barclays,2,method_4,104,0.045810376497153436
Barclays,2,method_4,107,0.04188284365337543
Barclays,2,method_4,110,0.03677426892766628
Barclays,2,method_4,113,0.03192138039293857
Barclays,2,method_4,116,0.027070253530238543
Barclays,2,method_4,119,0.024096940093139393
Barclays,2,method_4,122,0.017930977278871954
Barclays,2,method_4,125,0.01295816068625539
Barclays,2,method_4,128,1.2132118724534845e-05
Barclays,2,method_4,131,1.2132118724534845e-05
Barclays,2,method_4,134,1.2132118724534845e-05
Barclays,2,method_4,137,1.2132118724534845e-05
Barclays,2,method_4,140,1.2132118724534845e-05
Barclays,2,method_4,143,1.2132118724534845e-05
Barclays,2,method_4,146,1.2132118724534845e-05
Barclays,2,method_4,150,1.2132118724534845e-05
Barclays,3,method_1,1,0.6101787153333159
Barclays,3,method_1,4,0.5348816829787055
Barclays,3,method_1,7,0.4317135252438175
Barclays,3,method_1,10,0.39653570394848386
Barclays,3,method_1,13,0.36909737629801354
Barclays,3,method_1,16,0.3405148715335237
Barclays,3,method_1,19,0.33960181006789836
Barclays,3,method_1,22,0.35311344209110146
Barclays,3,method_1,25,0.35254924338577176
Barclays,3,method_1,28,0.3120710165527202
Barclays,3,method_1,31,0.3019674549209894
Barclays,3,method_1,34,0.2743908769354433
Barclays,3,method_1,37,0.27713954750181746
Barclays,3,method_1,40,0.2700227743474266
Barclays,3,method_1,43,0.2569609427560319
Barclays,3,method_1,46,0.23410782789573775
Barclays,3,method_1,49,0.22974976465798344
Barclays,3,method_1,52,0.227955025131783
Barclays,3,method_1,55,0.21771170874399018
Barclays,3,method_1,58,0.20449580264893097
Barclays,3,method_1,61,0.2005384888967709
Barclays,3,method_1,64,0.18980704369201362
Barclays,3,method_1,67,0.1750730958121116
Barclays,3,method_1,70,0.16466534098135865
Barclays,3,method_1,73,0.17590208519282463
Barclays,3,method_1,77,0.14601506318502172
Barclays,3,method_1,80,0.1305797558789287
Barclays,3,method_1,83,0.1181654261325163
Barclays,3,method_1,86,0.11582331003153731
Barclays,3,method_1,89,0.11298560885802493
Barclays,3,method_1,92,0.10350261687668354
Barclays,3,method_1,95,0.0942642996749118
Barclays,3,method_1,98,0.09078225957809945
Barclays,3,method_1,101,0.08156650299088958
Barclays,3,method_1,104,0.07074336361021166
Barclays,3,method_1,107,0.06466022704260238
Barclays,3,method_1,110,0.054656761285634126
Barclays,3,method_1,113,0.05218076693260461
Barclays,3,method_1,116,0.039387885352160174
Barclays,3,method_1,119,0.030233400049219924
Barclays,3,method_1,122,0.022592431889323597
Barclays,3,method_1,125,0.01271238236354185
Barclays,3,method_1,128,1.540136899993303e-05
Barclays,3,method_1,131,1.540136899993303e-05
Barclays,3,method_1,134,1.540136899993303e-05
Barclays,3,method_1,137,1.540136899993303e-05
Barclays,3,method_1,140,1.540136899993303e-05
Barclays,3,method_1,143,1.540136899993303e-05
Barclays,3,method_1,146,1.540136899993303e-05
Barclays,3,method_1,150,1.540136899993303e-05
Barclays,3,method_2,1,0.7979564944976556
Barclays,3,method_2,4,0.6172066299790117
Barclays,3,method_2,7,0.5645030003250497
Barclays,3,method_2,10,0.5161838868684588
Barclays,3,method_2,13,0.4649174356759955
Barclays,3,method_2,16,0.4357973181786554
Barclays,3,method_2,19,0.42332491165691594
Barclays,3,method_2,22,0.4254010975446637
Barclays,3,method_2,25,0.4100330539409784
Barclays,3,method_2,28,0.37594302891942954
Barclays,3,method_2,31,0.3631581102642551
Barclays,3,method_2,34,0.3395371460728898
Barclays,3,method_2,37,0.3360433570578787
Barclays,3,method_2,40,0.3287930136689374
Barclays,3,method_2,43,0.3117462475739544
Barclays,3,method_2,46,0.28733266805410645
Barclays,3,method_2,49,0.28140178929015425
Barclays,3,method_2,52,0.2738823714047743
Barclays,3,method_2,55,0.2555133524465109
Barclays,3,method_2,58,0.2440011050213474
Barclays,3,method_2,61,0.23565659631367847
Barclays,3,method_2,64,0.2249848029215797
Barclays,3,method_2,67,0.20876739033728056
Barclays,3,method_2,70,0.1984859437690088
Barclays,3,method_2,73,0.20259426806561487
Barclays,3,method_2,77,0.17425093053571125
Barclays,3,method_2,80,0.1597236133068321
Barclays,3,method_2,83,0.14884075482175138
Barclays,3,method_2,86,0.14341353477068228
Barclays,3,method_2,89,0.1365567256290823
Barclays,3,method_2,92,0.1264530187024636
Barclays,3,method_2,95,0.11586826952837918
Barclays,3,method_2,98,0.1112728698024991
Barclays,3,method_2,101,0.1008347265285444
Barclays,3,method_2,104,0.08889079508789033
Barclays,3,method_2,107,0.08111956031651761
Barclays,3,method_2,110,0.06997226098131058
Barclays,3,method_2,113,0.06474479518015885
