page,method,k,rmse,cos_sim
1,method_1,1,0.05506207345519653,0.8646524548530579
1,method_1,4,0.04436576035591039,0.9144340753555298
1,method_1,7,0.04116729808834435,0.926792562007904
1,method_1,10,0.04154446387324318,0.925574541091919
1,method_1,13,0.04028767069694026,0.9301347732543945
1,method_1,16,0.035375384015793425,0.94670170545578
1,method_1,19,0.03342303386775051,0.9525099992752075
1,method_1,22,0.031231156457017458,0.9585829377174377
1,method_1,25,0.030121263155277155,0.9614973068237305
1,method_1,28,0.03086381198275606,0.9595730304718018
1,method_1,31,0.025031144702406537,0.9735770225524902
1,method_1,34,0.02361569119375123,0.9765186309814453
1,method_1,37,0.02140715047128353,0.9808374047279358
1,method_1,40,0.01985687229125363,0.9835201501846313
1,method_1,43,0.018484547706145434,0.9857785701751709
1,method_1,46,0.01714931596306832,0.9877707958221436
1,method_1,49,0.016779077639317,0.988268256187439
1,method_1,52,0.016151498497984404,0.9891326427459717
1,method_1,55,0.016410065034237344,0.9887736439704895
1,method_1,58,0.015381161652728194,0.9901711940765381
1,method_1,61,0.013045518418771041,0.9929201602935791
1,method_1,64,0.012530642976611868,0.9934667944908142
1,method_1,67,0.010954565585814981,0.995015561580658
1,method_1,70,0.010109559886320865,0.9957530498504639
1,method_1,73,0.009815609683503361,0.9959959387779236
1,method_1,77,0.008663809470637782,0.9968788623809814
1,method_1,80,0.007579862261286392,0.997614324092865
1,method_1,83,0.0070790323973237085,0.9979206919670105
1,method_1,86,0.00596401017585492,0.9985263347625732
1,method_1,89,0.005745389687252523,0.9986401200294495
1,method_1,92,0.0050754946721800085,0.9989601373672485
1,method_1,95,0.004755714402544734,0.9990916848182678
1,method_1,98,0.004870027515890704,0.9990557432174683
1,method_1,101,0.004185315101539953,0.9993033409118652
1,method_1,104,0.004086715331723468,0.9993425607681274
1,method_1,107,0.0029971257339749687,0.9996420741081238
1,method_1,110,0.0017867676241924036,0.9998712539672852
1,method_1,113,0.0014912816639160128,0.9999103546142578
1,method_1,116,0.0011121476680656175,0.9999489188194275
1,method_1,119,0.0007723576401756176,0.9999751448631287
1,method_1,122,0.00039251792436234117,0.999993622303009
1,method_1,125,0.00029483344603436096,0.9999964237213135
1,method_1,128,1.2070841494564208e-06,1.0
1,method_1,131,1.2070841494564208e-06,1.0
1,method_1,134,1.2070841494564208e-06,1.0
1,method_1,137,1.2070841494564208e-06,1.0
1,method_1,140,1.2070841494564208e-06,1.0
1,method_1,143,1.2070841494564208e-06,1.0
1,method_1,146,1.2070841494564208e-06,1.0
1,method_1,150,1.2070841494564208e-06,1.0
1,method_2,1,0.08218372456868231,0.6620793342590332
1,method_2,4,0.058318678586445155,0.8466910123825073
1,method_2,7,0.05340603201661509,0.8732551336288452
1,method_2,10,0.0492515467940002,0.8934074640274048
1,method_2,13,0.04699299039099311,0.9034513831138611
1,method_2,16,0.043458025095858555,0.9181415438652039
1,method_2,19,0.04098801449870941,0.9275259971618652
1,method_2,22,0.038604294544451384,0.9359488487243652
1,method_2,25,0.037024224616862424,0.9412186741828918
1,method_2,28,0.036909110441015504,0.9416455626487732
1,method_2,31,0.032278449018949634,0.9556534290313721
1,method_2,34,0.030899988795894437,0.9594387412071228
1,method_2,37,0.027950168941015274,0.9670495986938477
1,method_2,40,0.025850954570219215,0.9718648791313171
1,method_2,43,0.02352684965593381,0.9767954349517822
1,method_2,46,0.021887548846093157,0.9799673557281494
1,method_2,49,0.020801890818234827,0.9818987846374512
1,method_2,52,0.01975770368349052,0.9836798906326294
1,method_2,55,0.01957852929427382,0.9839743971824646
1,method_2,58,0.018479747234377196,0.9857622981071472
1,method_2,61,0.01619188506162737,0.9890627861022949
1,method_2,64,0.015175622793638262,0.9903963804244995
1,method_2,67,0.013643716335089909,0.9922475218772888
1,method_2,70,0.012683279841255139,0.9933000802993774
1,method_2,73,0.011921391592585286,0.994083821773529
1,method_2,77,0.01045843068161225,0.9954464435577393
1,method_2,80,0.009333796795040579,0.9963766932487488
1,method_2,83,0.008675072405800288,0.9968716502189636
1,method_2,86,0.007625392579474554,0.9975849390029907
1,method_2,89,0.007254702009582167,0.9978221654891968
1,method_2,92,0.006552856328432721,0.998244047164917
1,method_2,95,0.00605020366658519,0.9985087513923645
1,method_2,98,0.005842831846492283,0.9986214637756348
1,method_2,101,0.005057683321614712,0.9989674687385559
