page,method,k,rmse,cos_sim
1,method_1,1,0.05143774004740573,0.8839125037193298
1,method_1,4,0.040460012127296364,0.9298844337463379
1,method_1,7,0.03641411304235071,0.9436746835708618
1,method_1,10,0.03526731834320168,0.94727623462677
1,method_1,13,0.03363728149365508,0.9524796009063721
1,method_1,16,0.02928793989462267,0.9640364646911621
1,method_1,19,0.026947748340727145,0.9695707559585571
1,method_1,22,0.02637943672060296,0.9708729386329651
1,method_1,25,0.0282948827849246,0.9667336940765381
1,method_1,28,0.027637331891756337,0.9685479998588562
1,method_1,31,0.021439947309868732,0.9808183908462524
1,method_1,34,0.019583124324541578,0.9840300679206848
1,method_1,37,0.01846265398140397,0.9858235716819763
1,method_1,40,0.017220698644504005,0.9876893758773804
1,method_1,43,0.015432811693138836,0.9901557564735413
1,method_1,46,0.013590149591919709,0.9924025535583496
1,method_1,49,0.012825444501844939,0.9932485818862915
1,method_1,52,0.012978383309189998,0.993061900138855
1,method_1,55,0.011823144481126348,0.9943168759346008
1,method_1,58,0.011114712770233856,0.9950529336929321
1,method_1,61,0.012827172400949875,0.9932703375816345
1,method_1,64,0.011809185132910795,0.9942610263824463
1,method_1,67,0.01080244810485108,0.9952226877212524
1,method_1,70,0.010205070966736323,0.995721697807312
1,method_1,73,0.008649217653591038,0.9969539642333984
1,method_1,77,0.0078722736545688,0.9974836111068726
1,method_1,80,0.007678743501685365,0.9975876808166504
1,method_1,83,0.006962527670485747,0.99802565574646
1,method_1,86,0.005619822705911471,0.9987145066261292
1,method_1,89,0.005087846132111815,0.9989551305770874
1,method_1,92,0.0035710819634329452,0.9994975328445435
1,method_1,95,0.003545247939076916,0.9994915127754211
1,method_1,98,0.0023141674164241597,0.9997798204421997
1,method_1,101,0.0022432093452446167,0.9997931718826294
1,method_1,104,0.0018759039250072914,0.9998567700386047
1,method_1,107,0.0016163837214090203,0.9998946189880371
1,method_1,110,0.0009398701101981987,0.9999634623527527
1,method_1,113,0.0007394580192980431,0.9999774098396301
1,method_1,116,0.0007432826824209169,0.999977171421051
1,method_1,119,0.0004962994124515858,0.9999901056289673
1,method_1,122,0.00028560962328619266,0.9999966621398926
1,method_1,125,0.00015350459103263155,0.9999990463256836
1,method_1,128,1.0923700695901823e-06,0.9999999403953552
1,method_1,131,1.0923700695901823e-06,0.9999999403953552
1,method_1,134,1.0923700695901823e-06,0.9999999403953552
1,method_1,137,1.0923700695901823e-06,0.9999999403953552
1,method_1,140,1.0923700695901823e-06,0.9999999403953552
1,method_1,143,1.0923700695901823e-06,0.9999999403953552
1,method_1,146,1.0923700695901823e-06,0.9999999403953552
1,method_1,150,1.0923700695901823e-06,0.9999999403953552
1,method_2,1,0.07821755291391952,0.7033836841583252
1,method_2,4,0.05462105793540166,0.8679750561714172
1,method_2,7,0.049632368053353984,0.8925431966781616
1,method_2,10,0.04547320367853727,0.910552978515625
1,method_2,13,0.04351047513860791,0.9187681674957275
1,method_2,16,0.03951039577698007,0.9333885908126831
1,method_2,19,0.03572076164412681,0.945818305015564
1,method_2,22,0.033952677814428324,0.9512039422988892
1,method_2,25,0.034581402034458066,0.9495753049850464
1,method_2,28,0.03300892260902426,0.9543808698654175
1,method_2,31,0.027930477729702127,0.9672189950942993
1,method_2,34,0.026136412721802678,0.9713701605796814
1,method_2,37,0.024482876832764795,0.9749244451522827
1,method_2,40,0.02269997206053204,0.9784873723983765
1,method_2,43,0.020485134585418452,0.9825482368469238
1,method_2,46,0.018801815086714992,0.9853396415710449
1,method_2,49,0.017438697354944712,0.9874224066734314
1,method_2,52,0.01677031076383595,0.9883620142936707
1,method_2,55,0.015562196705931083,0.9900526404380798
1,method_2,58,0.014449163345805373,0.9915052652359009
1,method_2,61,0.015156636189396226,0.9905598163604736
1,method_2,64,0.01395483990376494,0.9919634461402893
1,method_2,67,0.012665390667059686,0.9934087991714478
1,method_2,70,0.01200820226388086,0.994060218334198
1,method_2,73,0.010537470630404938,0.9954525828361511
1,method_2,77,0.009641293972946734,0.9962005615234375
1,method_2,80,0.009175498001945647,0.9965429902076721
1,method_2,83,0.008355340050682116,0.9971426129341125
1,method_2,86,0.006903517095142522,0.9980493187904358
1,method_2,89,0.006223270567724753,0.9984239339828491
1,method_2,92,0.004734561454878085,0.9990977644920349
1,method_2,95,0.004565905400215949,0.9991490840911865
1,method_2,98,0.0034911990009200504,0.9994972348213196
1,method_2,101,0.003142378869218493,0.9995929598808289
1,method_2,104,0.002673544856134928,0.9997066259384155
1,method_2,107,0.0023920275473736734,0.9997661113739014
