page,method,k,rmse,cos_sim
1,method_1,22,0.03941412410835238,0.9287009239196777
1,method_1,38,0.02949723238459244,0.960621178150177
1,method_1,63,0.021006337705279838,0.9802294969558716
1,method_2,22,0.04579757961884919,0.9022769927978516
1,method_2,32,0.037864779599633025,0.9342204332351685
1,method_2,69,0.021713301738336046,0.978879988193512
1,method_3,19,0.047413511776047475,0.8951348066329956
1,method_3,38,0.03656037701450573,0.9388327598571777
1,method_3,69,0.028972657626186595,0.9620204567909241
1,method_4,22,0.03390214497463668,0.9476115107536316
1,method_4,38,0.024718934516453166,0.9725004434585571
1,method_4,63,0.014684706233419753,0.9903821349143982
2,method_1,22,0.0407852817648922,0.9234506487846375
2,method_1,38,0.02658944367494034,0.968205988407135
2,method_1,63,0.01664350886915799,0.98775714635849
2,method_2,22,0.046910126260510734,0.8973215222358704
2,method_2,32,0.03624014281855217,0.9401716589927673
2,method_2,69,0.018050835478562306,0.9855096936225891
2,method_3,19,0.048009191928566126,0.892021656036377
2,method_3,38,0.0348197843313868,0.9447394609451294
2,method_3,69,0.0253462679084923,0.9711781740188599
2,method_4,22,0.0329495875773791,0.9506539106369019
2,method_4,38,0.02321665873494052,0.9758127331733704
2,method_4,63,0.013952532548423772,0.9913325309753418
3,method_1,22,0.03329121425666759,0.9451484084129333
3,method_1,38,0.025322710964554625,0.9685980081558228
3,method_1,63,0.0170831675772517,0.9859657287597656
3,method_2,22,0.039282158815409654,0.922619104385376
3,method_2,32,0.032210159823564045,0.9486541748046875
3,method_2,69,0.01862120860203213,0.9832181930541992
3,method_3,19,0.04038968894951115,0.918127179145813
3,method_3,38,0.03145228791319213,0.9511603116989136
3,method_3,69,0.023711154184969593,0.9725216627120972
3,method_4,22,0.02880644386157575,0.9591524600982666
3,method_4,38,0.021366420076961982,0.9777387976646423
3,method_4,63,0.013797400894111071,0.9907779693603516
4,method_1,22,0.0338591549404767,0.9450007081031799
4,method_1,38,0.02994531424935662,0.9576839208602905
4,method_1,63,0.018519471655216495,0.9839251637458801
4,method_2,22,0.03998110227916836,0.9223886132240295
4,method_2,32,0.03461787473034745,0.9426925182342529
4,method_2,69,0.018323299417628468,0.9842627048492432
4,method_3,19,0.04021527747957386,0.9214890599250793
4,method_3,38,0.03587426168784003,0.9384170770645142
4,method_3,69,0.02623549107404967,0.967420220375061
4,method_4,22,0.030637058969325795,0.9551900029182434
4,method_4,38,0.022974904123494466,0.975054144859314
4,method_4,63,0.012809172339377882,0.992313027381897
5,method_1,22,0.032608912254814625,0.9458417892456055
5,method_1,38,0.023013255128500207,0.9730820655822754
5,method_1,63,0.018120486598256977,0.9834524393081665
5,method_2,22,0.038432364445406465,0.9234143495559692
5,method_2,32,0.03352281468032222,0.9420340061187744
5,method_2,69,0.018449734325219642,0.9827812910079956
5,method_3,19,0.038646654131450915,0.9222567081451416
5,method_3,38,0.031182894143912163,0.950106143951416
5,method_3,69,0.02368469316924666,0.9714959859848022
5,method_4,22,0.0291064191132421,0.9565663933753967
5,method_4,38,0.02161676825676737,0.9762821793556213
5,method_4,63,0.013564585021842216,0.9907286167144775
6,method_1,22,0.03575637332627943,0.940857470035553
6,method_1,38,0.027412742614906407,0.9657421708106995
6,method_1,63,0.016697011419720128,0.9874057769775391
6,method_2,22,0.04039905822987439,0.9238004088401794
6,method_2,32,0.035182530792394535,0.9428606033325195
6,method_2,69,0.01853266463098921,0.9844646453857422
6,method_3,19,0.041164915548040686,0.9208382368087769
6,method_3,38,0.033368526137144625,0.948675274848938
6,method_3,69,0.025205744895628976,0.9710689783096313
6,method_4,22,0.029327043259333524,0.960594892501831
6,method_4,38,0.02106301667648182,0.9798716306686401
6,method_4,63,0.012772294052190799,0.9926462173461914
7,method_1,22,0.03683351895613614,0.9391104578971863
7,method_1,38,0.0259725948580577,0.9702445864677429
7,method_1,63,0.019614359491202,0.9831198453903198
7,method_2,22,0.04367450214657611,0.9132108688354492
7,method_2,32,0.03574820361029823,0.9427396059036255
7,method_2,69,0.020456351700328047,0.9816524386405945
7,method_3,19,0.044232829286396345,0.9110576510429382
7,method_3,38,0.035815522844522364,0.9425786137580872
7,method_3,69,0.027941333361815517,0.9654826521873474
7,method_4,22,0.03275520766828361,0.9521528482437134
7,method_4,38,0.02244851686335586,0.9778180122375488
7,method_4,63,0.013712999957667131,0.9917807579040527
8,method_1,22,0.03925859879897177,0.9322144389152527
8,method_1,38,0.030023488010140167,0.9608926773071289
8,method_1,63,0.02078242799079528,0.9814717769622803
8,method_2,22,0.04578107173904502,0.906643271446228
8,method_2,32,0.038758130703442424,0.9339484572410583
8,method_2,69,0.02379374662332383,0.975632905960083
8,method_3,19,0.04651516397594989,0.9035750031471252
8,method_3,38,0.038853795593488734,0.9335471987724304
8,method_3,69,0.03187783627478417,0.9557682275772095
8,method_4,22,0.0353470038009056,0.945324718952179
8,method_4,38,0.025055518242198725,0.9729119539260864
8,method_4,63,0.014880505734116964,0.9905301332473755
9,method_1,22,0.03217255698303799,0.9557838439941406
9,method_1,38,0.02402544066559834,0.9755598306655884
9,method_1,63,0.01917286807106989,0.9845277667045593
9,method_2,22,0.03994008659010792,0.9309740662574768
9,method_2,32,0.03425628220186128,0.949660062789917
9,method_2,69,0.020064725250959852,0.9830180406570435
9,method_3,19,0.04282588399739094,0.9201017022132874
9,method_3,38,0.032979017809635636,0.9534265995025635
