method,k,mean,std,min,max
method_1,1,0.554863357219522,0.041475812058318906,0.4629029305120157,0.6911050583341939
method_1,4,0.4704393700806737,0.047133475356790376,0.3624084354777239,0.662576733174939
method_1,7,0.43984800791126694,0.044835601865911776,0.336320121487,0.6593256311292118
method_1,10,0.4180339923693557,0.04246646785835556,0.31239776586632845,0.6300956033642964
method_1,13,0.39362891758582147,0.03925791151133215,0.28363042094805346,0.5247917570378066
method_1,16,0.37241270441894964,0.03834842831838529,0.24771876267262347,0.49347090707934455
method_1,19,0.3530460821016649,0.03910555889569565,0.23412215220201935,0.4730062376848249
method_1,22,0.3348709072692384,0.03809576232792946,0.22820071049097798,0.45439970465932217
method_1,25,0.3192542693585476,0.03813354656940943,0.21965719159691605,0.45256653992733864
method_1,28,0.30409049418514245,0.03809013893746957,0.18353969138507692,0.4542139987058715
method_1,31,0.29017195227503134,0.03576393298412368,0.17456022764598586,0.4186829419867942
method_1,34,0.27667402890806553,0.035998507414087534,0.1531760557627642,0.4058089562360045
method_1,37,0.2631874649264925,0.03645068315650488,0.1353354628458689,0.3914257735712662
method_1,40,0.25368107734359846,0.037507675967077714,0.1180993245139531,0.36812698213185724
method_1,43,0.2438807384548534,0.03779641454731517,0.11952347217759866,0.35960727500232476
method_1,46,0.23383620279079487,0.036837166695133074,0.11566637927483359,0.3411630374037672
method_1,49,0.22412389847565223,0.03613284723674317,0.11515467179342961,0.3338376677385536
method_1,52,0.21397287620690442,0.03401542757104022,0.1092419520560895,0.299310977384122
method_1,55,0.20280406759098216,0.033299533067605726,0.09039726843612922,0.2772264040243231
method_1,58,0.1935001650065941,0.03214190863758664,0.09510335746724154,0.26562035931196026
method_1,61,0.18534351454072703,0.031791652852872665,0.082423845728842,0.25859146593012106
method_1,64,0.1763636532569231,0.0308235114496138,0.07408541274842204,0.2540641351252221
method_1,67,0.1673945419943649,0.02892080048659118,0.07191986974065137,0.24155887867415335
method_1,70,0.15890532386359796,0.029144326970363656,0.06929845001262909,0.22654301409322605
method_1,73,0.1483748890594199,0.027606865344869242,0.06455919141202823,0.21978338599845715
method_1,77,0.1372914730603668,0.02681599702458096,0.05245100525769684,0.22505226534642708
method_1,80,0.12833965944661113,0.024867084822672997,0.046744485783337224,0.21255992153727718
method_1,83,0.12056610036649537,0.0245644697579211,0.03190204674251691,0.1900772943654614
method_1,86,0.11242144625595807,0.024777339166441054,0.022896034118525168,0.20519927286016587
method_1,89,0.10491921977819597,0.02442195113817875,0.018230984975249664,0.21540214373191757
method_1,92,0.09762673845251088,0.023462884782174523,0.015830922078124577,0.19601615974826153
method_1,95,0.08953402602368257,0.02234085173565706,0.013326151900039078,0.17206613978188415
method_1,98,0.0819537740214391,0.021537352265028745,0.012074461387686182,0.17488288196705803
method_1,101,0.07412416978166474,0.01981885138769576,0.008743074914006837,0.14567269514888095
method_1,104,0.0668572427557979,0.018119853315092582,0.0075723390900979655,0.12887100960016226
method_1,107,0.05894577402862983,0.01633070756096212,0.005922213087834832,0.12313120790041569
method_1,110,0.05130604974036986,0.01496149460707295,0.0042670130891993676,0.11808584306760303
method_1,113,0.044184297835744867,0.013871072076551852,0.002854427623833596,0.10604920680382886
method_1,116,0.036737107900801536,0.011624305878059855,0.002264920373853771,0.06443870083806222
method_1,119,0.02843146122602329,0.009360505877751366,0.0004543230816183878,0.052932907585285474
