method,k,mean,std,min,max
method_1,1,0.06125494310621281,0.005920167962015799,0.05352976544323655,0.06907473309625323
method_1,4,0.05100750296439517,0.005353111757649624,0.044282467566248776,0.05839983920899781
method_1,7,0.04934209118379953,0.005968404989191318,0.04108405648876451,0.057405018521864234
method_1,10,0.04629398895621318,0.005596899842285107,0.039387718539746236,0.0555791164872254
method_1,13,0.04411135341293861,0.005731194844689056,0.03732466674467958,0.05382403041522326
method_1,16,0.04217671514564111,0.006493062708107473,0.03332260492059411,0.05278864028832954
method_1,19,0.040372991682831164,0.0054711662497914015,0.03265813816637408,0.04909124054981487
method_1,22,0.03929456259187341,0.005737683852693207,0.031231156457017458,0.04855752348961287
method_1,25,0.03829597441734441,0.005177754502389573,0.030121263155277155,0.04784752867687346
method_1,28,0.03578380877448164,0.004961850545171855,0.028986692498205,0.04617701108559902
method_1,31,0.034699490700982785,0.005718204131496454,0.025031144702406537,0.04494599285784439
method_1,34,0.0323434681508993,0.005857098622685013,0.02361569119375123,0.045744083464606206
method_1,37,0.03045946746803895,0.0058894608910908626,0.02140715047128353,0.044194081627831935
method_1,40,0.0290577853760344,0.005556900804543949,0.01985687229125363,0.04172586387084416
method_1,43,0.026744570581485806,0.0035321062187552757,0.018484547706145434,0.03145792083425052
method_1,46,0.02546776723598735,0.0033797366434460047,0.01714931596306832,0.029581160892329796
method_1,49,0.024272634335350835,0.0032145922977450296,0.016779077639317,0.02788927440618907
method_1,52,0.023509645467800513,0.003107766794221659,0.016151498497984404,0.026627961918433665
method_1,55,0.02221726679241903,0.002751432403793129,0.016410065034237344,0.025805103806591605
method_1,58,0.021228808519038626,0.0024879349568565153,0.015381161652728194,0.023392230014085247
method_1,61,0.019908054512553095,0.0030003950932024777,0.013045518418771041,0.023334253411782795
method_1,64,0.018991010085902302,0.002978963418237043,0.012530642976611868,0.022027701068142426
method_1,67,0.017497601331680622,0.0026747821269843563,0.010954565585814981,0.02051662428893358
method_1,70,0.01664798577235189,0.002908332764161962,0.010109559886320865,0.020369353959565475
method_1,73,0.01621303188715608,0.0029203124016834907,0.009815609683503361,0.02069595790347538
method_1,77,0.014908555810299758,0.002784284081184058,0.008663809470637782,0.01875537954088279
method_1,80,0.014025135865766489,0.002885481682526569,0.007579862261286392,0.017641716577148126
method_1,83,0.013250460628838176,0.002949894335616144,0.0070790323973237085,0.017966927689943707
method_1,86,0.01215688846914843,0.002594852680182055,0.00596401017585492,0.015521560197623163
method_1,89,0.011215301330711103,0.0025545991360190158,0.005745389687252523,0.015857269358438886
method_1,92,0.01061393245438934,0.0026124973104900847,0.0050754946721800085,0.015239210920130322
method_1,95,0.00978682666670299,0.0026570312414851065,0.004755714402544734,0.014798528421315448
method_1,98,0.008757442461198313,0.0022399235614529054,0.004870027515890704,0.013172541285795904
method_1,101,0.008070419046835331,0.0021750562346181824,0.004185315101539953,0.012655197666601352
method_1,104,0.007467561730397929,0.002078784558363677,0.004086715331723468,0.012005536545077185
method_1,107,0.006649854567114888,0.0019275113908805788,0.0029971257339749687,0.010996433087875679
method_1,110,0.005749969542942626,0.001635707252601371,0.0017867676241924036,0.008260088992627495
method_1,113,0.005132561000784832,0.0016545769977781817,0.0014912816639160128,0.007370474406862218
method_1,116,0.0037781174126516304,0.001167505796038986,0.0011121476680656175,0.005348656195948492
method_1,119,0.002916168988072368,0.0009622597095754962,0.0007723576401756176,0.004349475516458298
method_1,122,0.002114680082749788,0.0007092635043946698,0.00039251792436234117,0.0028144588505559626
method_1,125,0.001212430522589192,0.0004193341446824996,0.00029483344603436096,0.0018096250348441144
method_1,128,1.4865665834159276e-06,2.6286170524384697e-07,1.2070841494564208e-06,2.042786912309917e-06
method_1,131,1.4865665834159276e-06,2.6286170524384697e-07,1.2070841494564208e-06,2.042786912309917e-06
method_1,134,1.4865665834159276e-06,2.6286170524384697e-07,1.2070841494564208e-06,2.042786912309917e-06
method_1,137,1.4865665834159276e-06,2.6286170524384697e-07,1.2070841494564208e-06,2.042786912309917e-06
method_1,140,1.4865665834159276e-06,2.6286170524384697e-07,1.2070841494564208e-06,2.042786912309917e-06
method_1,143,1.4865665834159276e-06,2.6286170524384697e-07,1.2070841494564208e-06,2.042786912309917e-06
method_1,146,1.4865665834159276e-06,2.6286170524384697e-07,1.2070841494564208e-06,2.042786912309917e-06
method_1,150,1.4865665834159276e-06,2.6286170524384697e-07,1.2070841494564208e-06,2.042786912309917e-06
method_2,1,0.08501270078026994,0.002886587108082531,0.08154838224247132,0.08961425890164147
method_2,4,0.0644317983376532,0.00442595821754879,0.058318678586445155,0.06979412150454498
method_2,7,0.05915826851674688,0.005451515505287634,0.050811032126663026,0.06581785936057274
method_2,10,0.05500025524645569,0.005896370685877096,0.04609546577363735,0.06337180296204697
method_2,13,0.05137387189321929,0.0057257999389071735,0.042733047197101845,0.059745299008842775
method_2,16,0.0489329517437501,0.006115088216558181,0.03899465570126364,0.0589637044346087
method_2,19,0.046539994074443466,0.005424394776795391,0.03772792140741378,0.054791704592280686
method_2,22,0.045258520717598894,0.005371918705193884,0.036561493057360214,0.05314571830365899
method_2,25,0.04378517813461223,0.004772674326198985,0.035846341399044926,0.05166511962497863
method_2,28,0.041206427533527754,0.004458055060278035,0.033673679138627524,0.050138079914924125
method_2,31,0.03971593621224388,0.005017004354167179,0.032278449018949634,0.048710614901578
method_2,34,0.037588165505492176,0.005010257779585145,0.030899988795894437,0.048851808526307085
method_2,37,0.03555189686955755,0.005169731060324507,0.027950168941015274,0.047336361795655944
method_2,40,0.03385661755453123,0.004938392501972107,0.025850954570219215,0.044925456318941875
method_2,43,0.031574967710781374,0.003469864274368632,0.02352684965593381,0.035537880241585156
method_2,46,0.030077629006596784,0.003407257979884885,0.021887548846093157,0.03368933989228097
method_2,49,0.02862791361203305,0.00327260840852396,0.020801890818234827,0.03231787208703405
method_2,52,0.027592516965548104,0.0032218195823778967,0.01975770368349052,0.030455703953135495
method_2,55,0.026246507645150526,0.0029712776485772423,0.01957852929427382,0.02960669196014435
method_2,58,0.02507480427916048,0.002753632414191258,0.018479747234377196,0.02782617578481675
method_2,61,0.0236148612032204,0.0031895636296759436,0.01619188506162737,0.026579490041943987
method_2,64,0.02249297377183351,0.0031410792485576083,0.015175622793638262,0.02607411186324939
method_2,67,0.020845194156997284,0.002916553929845097,0.013643716335089909,0.024253463622118564
method_2,70,0.019840230192112184,0.0030731578019362834,0.012683279841255139,0.02377105331092745
method_2,73,0.019174404551636024,0.003161361449971881,0.011921391592585286,0.023758945186339888
method_2,77,0.017685693233615296,0.003023324812209686,0.01045843068161225,0.021595763001165315
method_2,80,0.016617579777439787,0.0030521852825068875,0.009333796795040579,0.02022139249104804
method_2,83,0.015652475675564943,0.003109974324661909,0.008675072405800288,0.020334597921655456
method_2,86,0.014431418342366808,0.002777049672671863,0.007625392579474554,0.017434395177101818
method_2,89,0.013405951817946826,0.0026733311226341395,0.007254702009582167,0.017516770841770866
method_2,92,0.012654735355215534,0.002705396271073764,0.006552856328432721,0.016811993636957796
method_2,95,0.011694549727700617,0.002719005056669377,0.00605020366658519,0.016240758103214167
method_2,98,0.010563295142114676,0.0023093550513137574,0.005842831846492283,0.014531320540804282
method_2,101,0.00974123448941525,0.0021931054885174625,0.005057683321614712,0.013737457370268878
method_2,104,0.008986872050207071,0.002081350312716659,0.004796696459130423,0.013024398817216632
method_2,107,0.008026902824875956,0.002021167101820103,0.003601906062078966,0.011996833540233882
method_2,110,0.006986818026457531,0.0017441630098960583,0.00255540623348674,0.009366588121769609
method_2,113,0.006182131513986755,0.0017335127955087608,0.0021303154594169964,0.008215622113875257
method_2,116,0.004754148218668585,0.0012402977781060343,0.0016692714342014345,0.006131112473256914
