method,k,mean,std,min,max
method_1,1,0.05780576940243999,0.005161946022965951,0.05143774004740573,0.06714343660960226
method_1,4,0.04856353563542719,0.004978918761004779,0.040460012127296364,0.05351376321435972
method_1,7,0.044619048940521995,0.0041844347624956,0.03641411304235071,0.04954454323338244
method_1,10,0.042382008571148794,0.004476832383332711,0.03526731834320168,0.04999167971003645
method_1,13,0.04056864893029722,0.004681995982755152,0.03363728149365508,0.04628713609815467
method_1,16,0.03755701585229584,0.004284208626204129,0.02928793989462267,0.0428125729351397
method_1,19,0.03549901843032947,0.004438529794771558,0.026947748340727145,0.04097466893316561
method_1,22,0.03356560701056964,0.0038898984311924356,0.02637943672060296,0.039367606288641575
method_1,25,0.03225216037375887,0.0032544861737168265,0.028003792138358713,0.03753190359849551
method_1,28,0.030900603185675522,0.0032648261000344115,0.02613019288444322,0.03615405128646595
method_1,31,0.029342921974463775,0.004301836216211736,0.021439947309868732,0.035020599657431165
method_1,34,0.027855355160138262,0.004174443420493119,0.019583124324541578,0.03352912228131575
method_1,37,0.027012415941587826,0.004235479115264387,0.01846265398140397,0.03173221566854133
method_1,40,0.02637963337343987,0.004334267658501811,0.017220698644504005,0.030995725868099545
method_1,43,0.025288894491763636,0.004473951834246673,0.015432811693138836,0.02960992098923901
method_1,46,0.02419575291310492,0.00496248311575289,0.013590149591919709,0.028700072558527075
method_1,49,0.023078565689559905,0.00454534043112633,0.012825444501844939,0.027803531912649043
method_1,52,0.02220374462807914,0.0046004658916500435,0.012978383309189998,0.028016849748019507
method_1,55,0.020866389090089376,0.004570150973051214,0.011823144481126348,0.02730442842918631
method_1,58,0.020066365163679312,0.004642560353046249,0.011114712770233856,0.02606929503075219
method_1,61,0.019687324354740438,0.004052026474877617,0.012827172400949875,0.024179318316218782
method_1,64,0.0186060505849451,0.0037581979623365304,0.011809185132910795,0.02365059144437845
method_1,67,0.01796740127465572,0.003839298047871016,0.01080244810485108,0.0231041686590329
method_1,70,0.016845686240576897,0.0036720833054094786,0.010205070966736323,0.02179494157991596
method_1,73,0.015588588312436539,0.003525436854439702,0.008649217653591038,0.01988952498936848
method_1,77,0.014168811341502757,0.003282474489643853,0.0078722736545688,0.01778277093795786
method_1,80,0.012971033021746561,0.002871741823109216,0.007678743501685365,0.016842993055258677
method_1,83,0.01202519410473286,0.0028029298156850677,0.006962527670485747,0.015704842250844987
method_1,86,0.011152414635735304,0.002861638484656846,0.005619822705911471,0.014900136225735397
method_1,89,0.010228357096843197,0.0026305835149929052,0.005087846132111815,0.013683155315132636
method_1,92,0.00940979163905612,0.0026438861179127306,0.0035710819634329452,0.012361933055961215
method_1,95,0.00890463648592387,0.0028067533160533683,0.003545247939076916,0.012058645433468684
method_1,98,0.008301688297697344,0.0029253394897834515,0.0023141674164241597,0.012041302652990913
method_1,101,0.007777637776457619,0.0026938692736449806,0.0022432093452446167,0.010822835995504586
method_1,104,0.007032513495285804,0.002703913053680796,0.0018759039250072914,0.01115423416455882
method_1,107,0.006083927438698985,0.002587964103304082,0.0016163837214090203,0.010916856153422732
method_1,110,0.004865487282472764,0.0019457376901382663,0.0009398701101981987,0.00724675043530312
method_1,113,0.0039982934751902535,0.0016847453903297727,0.0007394580192980431,0.00614407415017549
method_1,116,0.00355063608663311,0.001524121655152342,0.0007432826824209169,0.005937337947170385
method_1,119,0.002839698943943912,0.0013530520287545489,0.0004962994124515858,0.005010599957519272
method_1,122,0.0018645953611097874,0.000809089775763782,0.00028560962328619266,0.00277073377494595
method_1,125,0.0010474568465034175,0.00045375077137514073,0.00015350459103263155,0.001860243267212276
method_1,128,1.4764593114723435e-06,2.0076388185604154e-07,1.0923700695901823e-06,1.7321296738293175e-06
method_1,131,1.4764593114723435e-06,2.0076388185604154e-07,1.0923700695901823e-06,1.7321296738293175e-06
method_1,134,1.4764593114723435e-06,2.0076388185604154e-07,1.0923700695901823e-06,1.7321296738293175e-06
method_1,137,1.4764593114723435e-06,2.0076388185604154e-07,1.0923700695901823e-06,1.7321296738293175e-06
method_1,140,1.4764593114723435e-06,2.0076388185604154e-07,1.0923700695901823e-06,1.7321296738293175e-06
method_1,143,1.4764593114723435e-06,2.0076388185604154e-07,1.0923700695901823e-06,1.7321296738293175e-06
method_1,146,1.4764593114723435e-06,2.0076388185604154e-07,1.0923700695901823e-06,1.7321296738293175e-06
method_1,150,1.4764593114723435e-06,2.0076388185604154e-07,1.0923700695901823e-06,1.7321296738293175e-06
