method,k,mean,std,min,max
method_1,22,0.03568753047598585,0.0032086409437325604,0.03217255698303799,0.0407852817648922
method_1,38,0.026997360353528378,0.002457968894840769,0.023013255128500207,0.030023488010140167
method_1,63,0.01865563027198744,0.0015622742001756389,0.01664350886915799,0.021006337705279838
method_2,22,0.04209716573693949,0.003127617644055975,0.038432364445406465,0.046910126260510734
method_2,32,0.03540510624032313,0.0019410073353265812,0.032210159823564045,0.038758130703442424
method_2,69,0.019867911622753406,0.0018525412653179767,0.018050835478562306,0.02379374662332383
method_3,19,0.043357587769652296,0.003256421567285561,0.038646654131450915,0.048009191928566126
method_3,38,0.034648728565582314,0.00239801939799046,0.031182894143912163,0.038853795593488734
method_3,69,0.026574866051214664,0.002491433898237298,0.02368469316924666,0.03187783627478417
method_4,22,0.031471553824610185,0.002195948033828814,0.02880644386157575,0.0353470038009056
method_4,38,0.022603416603709733,0.0013946385608914317,0.02106301667648182,0.025055518242198725
method_4,63,0.013771766186231446,0.0006853426483111281,0.012772294052190799,0.014880505734116964
