method,k,mean,std,min,max
method_1,1,0.5547422603466264,0.041391055067711305,0.4629029305120157,0.6911050583341939
method_1,3,0.49030875352545,0.04589284600508961,0.36898615516345973,0.6717650208453747
method_1,5,0.45858929118123215,0.04622637703320357,0.3590439442396339,0.6482574972835757
method_1,7,0.43969245905932675,0.04404000560001329,0.336320121487,0.6593256311292118
method_1,9,0.42571576747996037,0.04249668830562362,0.3329808685163476,0.6533873005970973
method_1,11,0.4096943698257013,0.04125215268738439,0.2990335346364767,0.6284745963128665
method_1,13,0.3935504576642139,0.039057086575986034,0.28363042094805346,0.5247917570378066
method_1,15,0.3782486195689229,0.03938553404707521,0.2549689104851368,0.49637794737947577
method_1,17,0.36550803850633307,0.0387143411444908,0.25186110515420684,0.5010154744150083
method_1,19,0.35291967615108527,0.0392701077954374,0.23412215220201935,0.4730062376848249
method_1,21,0.3405175356009096,0.039183325789762205,0.22870117992392625,0.4530909080439411
method_1,23,0.329797894788821,0.037820016734782885,0.22378525603134744,0.4719243018323133
method_1,25,0.3195045468343636,0.03762024400805014,0.21965719159691605,0.45256653992733864
method_1,27,0.30971590798126075,0.03707105388487079,0.1979345449150349,0.44575751687891824
method_1,29,0.299431663577053,0.03794103348682079,0.1749870158964881,0.4616869576918028
method_1,31,0.2897530165348624,0.03546984208370739,0.17456022764598586,0.4186829419867942
method_1,33,0.2802933515244117,0.035953594915394606,0.1581215644191094,0.41404221034991484
method_1,35,0.2716497314830485,0.036931720043804406,0.14501201543494396,0.4048233868153392
method_1,37,0.2629547555521282,0.036587813980398565,0.1353354628458689,0.3914257735712662
method_1,39,0.25631600482885736,0.037483328545721714,0.12466412906860104,0.38023049249850677
method_1,41,0.24996914038037002,0.03736492519246485,0.11637891363380401,0.3652648310939206
method_1,43,0.24369027728718268,0.03799387330438125,0.11952347217759866,0.35960727500232476
method_1,45,0.23674169449391627,0.037600961849697086,0.11673098023260553,0.34383174405469324
method_1,47,0.23030501888885466,0.03650198555786661,0.11240035333146482,0.32988789748657443
method_1,49,0.22380325237052517,0.03615592018583509,0.11515467179342961,0.3338376677385536
method_1,51,0.21787728022055278,0.034227883496205966,0.11647296003662225,0.31334474090852793
method_1,53,0.209743694724725,0.03383738198959788,0.10124422235179414,0.2936571523804797
method_1,55,0.20282806934186706,0.033540274397214014,0.09039726843612922,0.2769842459674727
