company,page,k,rmse
Barclays,1,1,0.6727951560810199
Barclays,1,3,1.3817074582488926
Barclays,1,5,0.7979266186861015
Barclays,1,7,0.7420206566492134
Barclays,1,9,0.9417624230998802
Barclays,1,11,3.4800250821868137
Barclays,1,13,0.8364739262988903
Barclays,1,15,0.6574336765223784
Barclays,1,17,0.651798619799017
Barclays,1,19,0.682179827514677
Barclays,1,21,0.6327204839686732
Barclays,1,23,0.6289756187951525
Barclays,1,25,0.6653713058666859
Barclays,1,27,1.9844714799720706
Barclays,1,29,0.6458834128224201
Barclays,1,31,1.2123775347672077
Barclays,1,33,0.6875863437899462
Barclays,1,35,0.686277977895936
Barclays,1,37,1.4101058727517892
Barclays,1,39,0.7073511920194328
Barclays,1,41,0.6161194298481449
Barclays,1,43,0.6523532667270309
Barclays,1,45,33.06624464065241
Barclays,1,47,0.6663797323928752
Barclays,1,49,0.6398195172775077
Barclays,1,51,0.6396035159531024
Barclays,1,53,0.6428293574642718
Barclays,1,55,1.2449273143800652
Barclays,1,57,0.7948715439282954
Barclays,1,59,0.6370204528602776
Barclays,1,61,0.8908222502146943
Barclays,1,63,1.5244328529824362
Barclays,1,65,0.6491196139156454
Barclays,1,67,0.8044963378552364
Barclays,1,69,0.6858410059569616
Barclays,1,71,0.6640530264696752
Barclays,1,73,0.6656956472523715
Barclays,1,75,3.7791807961944333
Barclays,1,77,2.063169806266743
Barclays,1,79,1.115330602155224
Barclays,1,81,2.3518872264735236
Barclays,1,83,0.5788733859441973
Barclays,1,85,0.5976576959800618
Barclays,1,87,0.750936478166443
Barclays,1,89,0.8958042646212369
Barclays,1,91,0.584435816403988
Barclays,1,93,0.8360549059567114
Barclays,1,95,0.6159457075685405
Barclays,1,97,0.910646163725178
Barclays,1,99,0.9419043572117053
Barclays,1,101,0.7868523373997889
Barclays,1,103,0.6602140437692493
Barclays,1,105,0.6528856590816287
Barclays,1,107,0.6872357519818971
Barclays,1,109,0.6812854075386137
Barclays,1,111,0.6841700686129919
Barclays,1,113,0.6379203806215576
Barclays,1,115,0.6955021982139078
Barclays,1,117,0.9707144869302766
Barclays,1,120,0.7183576259302986
Barclays,2,1,0.7483385936770741
Barclays,2,3,0.8037915426166788
Barclays,2,5,0.9560276661179152
Barclays,2,7,4.453848344712338
Barclays,2,9,0.7951752053834171
Barclays,2,11,1.6308142300209778
Barclays,2,13,42.10142634469545
Barclays,2,15,1.6905344792189982
Barclays,2,17,0.8703539661296419
Barclays,2,19,1.0272915337940174
Barclays,2,21,0.909478145742374
Barclays,2,23,7.218504205663098
Barclays,2,25,0.8151514235662779
Barclays,2,27,0.786592428403424
Barclays,2,29,1.9189523926816965
Barclays,2,31,0.7836208708112425
Barclays,2,33,0.7799579886035533
Barclays,2,35,0.7696595535915498
Barclays,2,37,1.8824312717161058
Barclays,2,39,0.7970988304004687
Barclays,2,41,1.0310615573340058
Barclays,2,43,1.0783933643144077
Barclays,2,45,1.6917728443558362
Barclays,2,47,12.6099722865471
Barclays,2,49,0.9570397897515837
Barclays,2,51,0.7842177362084263
Barclays,2,53,1.1144415570471526
Barclays,2,55,0.993050856391601
Barclays,2,57,0.7488674966337642
Barclays,2,59,0.7472398297475128
Barclays,2,61,1.2512140994651286
