company,page,k,rmse
Barclays,1,1,0.6727951560810199
Barclays,1,45,33.06624464065241
Barclays,2,1,0.7483385936770741
Barclays,2,45,1.6917728443558362
Barclays,3,1,0.7768146704939193
Barclays,3,45,0.9838386380135961
Barclays,4,1,0.7731479076152713
Barclays,4,45,0.8064234723072095
Barclays,5,1,0.7671111080596574
Barclays,5,45,0.8118681783366712
Barclays,6,1,0.7966514094866187
Barclays,6,45,0.9260631415881013
Barclays,7,1,0.7802090314646237
Barclays,7,45,0.9676934948033232
Barclays,8,1,0.7629248236829523
Barclays,8,45,0.8526177394992109
Barclays,9,1,0.7847231733465658
Barclays,9,45,0.8184287014627769
Barclays,10,1,0.7521305158817445
Barclays,10,45,1.775006764321053
Barclays,11,1,0.7561906254617056
Barclays,11,45,0.9234765618791894
Barclays,12,1,0.7922388320599006
Barclays,12,45,0.8929176979481073
Barclays,13,1,0.7300030766680173
Barclays,13,45,0.7939854049778801
Barclays,14,1,0.7514209288836817
Barclays,14,45,0.9006024631080828
Barclays,15,1,0.7936586976124879
Barclays,15,45,0.8953174734864178
Barclays,16,1,0.7761402864797683
Barclays,16,45,0.8302303420202791
Barclays,17,1,0.7830351115776832
Barclays,17,45,0.7840957560785852
Barclays,18,1,0.7499272184700959
Barclays,18,45,0.9908622489273025
Barclays,19,1,0.7782865121173734
Barclays,19,45,0.7689731535616469
Barclays,20,1,0.7870546106853589
Barclays,20,45,3.103913053667545
Barclays,21,1,0.7957353972470144
Barclays,21,45,0.9540872890419396
Barclays,22,1,0.7501830821412251
Barclays,22,45,1.01340029915605
Barclays,23,1,0.7498010941035589
Barclays,23,45,0.7872977728506262
Barclays,24,1,0.7710835372531988
Barclays,24,45,0.8165563735471977
Barclays,25,1,0.7716023775584907
Barclays,25,45,22.39541162395613
BlackRock,1,1,0.7522468902427795
BlackRock,1,45,1.027640696261087
BlackRock,2,1,0.7899042030489957
BlackRock,2,45,0.8834991351490418
BlackRock,3,1,0.7582803511716242
BlackRock,3,45,1.3623154094185816
BlackRock,4,1,0.7569807549558498
BlackRock,4,45,0.7916006481404475
BlackRock,5,1,0.7888562756837514
BlackRock,5,45,0.9507263874713231
BlackRock,6,1,0.7752858709586568
