--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        24.94%       3.131ms        25.86%       3.245ms       6.351us       0.000us         0.00%      14.176us       0.028us           0 B           0 B           0 B           0 B           511  
                                     PythonDispatchMode        16.22%       2.036ms        86.20%      10.820ms     470.431us       0.000us         0.00%       3.879ms     168.659us           0 B           0 B       2.40 MB           0 B            23  
                                Activity Buffer Request        15.89%       1.994ms        15.89%       1.994ms       1.994ms       1.472us         0.04%       1.472us       1.472us           0 B           0 B           0 B           0 B             1  
                                        cudaMemcpyAsync        14.80%       1.858ms        14.80%       1.858ms     109.272us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                  Hokus Pokus attention        10.04%       1.260ms        96.92%      12.165ms      12.165ms       0.000us         0.00%       3.879ms       3.879ms           0 B           0 B       1.69 MB    -725.50 KB             1  
                                      aten::_linalg_svd         4.20%     526.897us       120.80%      15.163ms       7.581ms       3.787ms        98.01%       7.597ms       3.799ms           0 B          -4 B     287.00 KB      64.00 KB             2  
                                            aten::addmm         2.36%     295.904us        10.71%       1.344ms     224.064us      26.688us         0.69%      76.864us      12.811us           0 B           0 B       3.05 MB       1.53 MB             6  
                                             aten::relu         2.14%     268.160us         8.48%       1.065ms     532.452us       0.000us         0.00%       9.728us       4.864us           0 B           0 B     968.00 KB           0 B             2  
                                               aten::mm         1.45%     182.607us         6.07%     761.553us      95.194us      30.880us         0.80%      61.760us       7.720us           0 B           0 B     466.00 KB     233.00 KB             8  
                                        aten::clamp_min         0.93%     116.479us         1.86%     233.509us     233.509us       2.432us         0.06%       4.864us       4.864us           0 B           0 B     484.00 KB     484.00 KB             1  
