--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        29.88%       1.987ms        29.88%       1.987ms       1.987ms       1.664us         3.36%       1.664us       1.664us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode        28.67%       1.906ms        92.52%       6.152ms     512.662us       0.000us         0.00%      51.169us       4.264us           0 B           0 B     679.00 KB           0 B            12  
                                       cudaLaunchKernel        13.77%     915.535us        13.77%     915.535us      53.855us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                            aten::where         9.52%     632.816us        36.57%       2.432ms     607.909us       5.056us        10.21%      11.808us       2.952us           0 B           0 B     294.00 KB        -512 B             4  
                                    aten::_safe_softmax         3.96%     263.542us        15.18%       1.010ms     504.812us       0.000us         0.00%      28.930us      14.465us           0 B           0 B     196.00 KB     -25.50 KB             2  
                                              aten::mul         2.58%     171.693us        89.02%       5.919ms       1.480ms       3.136us         6.33%       9.600us       2.400us           0 B           0 B     316.00 KB     158.00 KB             4  
                                               aten::mm         2.32%     154.285us        10.51%     698.987us     174.747us      17.632us        35.62%      35.264us       8.816us           0 B           0 B     354.00 KB     177.00 KB             4  
               aten::_scaled_dot_product_attention_math         2.23%     148.215us        98.50%       6.549ms       6.549ms       0.000us         0.00%      51.169us      51.169us           0 B           0 B     256.00 KB    -422.50 KB             1  
                     aten::scaled_dot_product_attention         1.29%      85.736us        99.79%       6.635ms       6.635ms       0.000us         0.00%      51.169us      51.169us           0 B           0 B     256.00 KB           0 B             1  
                                            aten::fill_         0.74%      49.091us         1.78%     118.349us      29.587us       6.496us        13.12%       6.496us       1.624us           0 B           0 B           0 B           0 B             4  
