-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Hokus Pokus prefill         0.55%      35.962ms        82.48%        5.352s        5.352s       0.000us         0.00%       24.317s       24.317s      56.46 MB      -1.36 MB     219.40 MB      -3.27 GB             1  
                                       aten::linalg_svd         0.00%     284.346us        75.67%        4.909s     153.419ms       0.000us         0.00%       23.919s     747.467ms           0 B           0 B     141.42 MB           0 B            32  
                                      aten::_linalg_svd         5.25%     340.944ms        75.66%        4.909s     153.411ms        3.858s        85.73%       23.919s     747.467ms           0 B      -4.00 KB     141.42 MB      66.84 MB            32  
                                       cudaLaunchKernel        28.72%        1.864s        33.56%        2.177s       4.087us       0.000us         0.00%       10.851s      20.368us           0 B           0 B           0 B           0 B        532769  
                                           Buffer Flush         0.14%       8.793ms         0.14%       8.831ms     160.557us        6.279s       139.55%        6.279s     114.170ms       1.36 MB       1.36 MB       2.42 MB       2.42 MB            55  
                                Activity Buffer Request         0.96%      62.417ms         0.96%      62.417ms       1.248ms        5.545s       123.23%        5.545s     110.897ms           0 B           0 B           0 B           0 B            50  
                                    Hokus Pokus prefill         0.00%       0.000us         0.00%       0.000us       0.000us        5.369s       119.31%        5.369s        5.369s           0 B           0 B           0 B           0 B             1  
                       Runtime Triggered Module Loading         4.75%     307.981ms         4.75%     307.981ms       3.348ms        4.593s       102.08%        4.593s      49.926ms           0 B           0 B           0 B           0 B            92  
                                  Lazy Function Loading         0.07%       4.317ms         0.07%       4.317ms      41.509us        3.647s        81.06%        3.647s      35.070ms           0 B           0 B           0 B           0 B           104  
void gesvdbj_batch_32x16<float, float>(long, int con...         0.00%       0.000us         0.00%       0.000us       0.000us        1.933s        42.95%        1.933s      38.539us           0 B           0 B           0 B           0 B         50148  
