--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        43.31%       1.976ms        43.31%       1.976ms       1.976ms       2.624us         6.84%       2.624us       2.624us           0 B           0 B           0 B           0 B             1  
                                     PythonDispatchMode        27.04%       1.233ms        93.93%       4.285ms     389.518us       0.000us         0.00%      40.960us       3.724us     158.00 KB           8 B     366.00 KB           0 B            11  
                                       cudaLaunchKernel         8.69%     396.348us         8.69%     396.348us      79.270us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             5  
                                        cudaMemcpyAsync         5.05%     230.361us         5.05%     230.361us     115.180us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                               aten::mm         3.62%     164.928us        13.42%     612.259us     153.065us      13.312us        34.72%      26.624us       6.656us           0 B           0 B     214.00 KB     107.00 KB             4  
                                         aten::_softmax         1.51%      69.002us         3.61%     164.507us      82.254us       2.112us         5.51%       4.224us       2.112us           0 B           0 B      56.00 KB      28.00 KB             2  
                                              aten::cat         1.50%      68.536us       105.12%       4.795ms       2.398ms       2.624us         6.84%      10.496us       5.248us           0 B           0 B     316.00 KB     158.00 KB             2  
                                    aten::empty_strided         1.10%      50.279us         1.10%      50.279us      25.139us       0.000us         0.00%       0.000us       0.000us     158.00 KB     158.00 KB      45.00 KB      45.00 KB             2  
                                              aten::div         1.00%      45.647us         3.92%     178.783us      89.391us       1.664us         4.34%       3.328us       1.664us          -8 B          -8 B      56.00 KB      28.00 KB             2  
                                       aten::lift_fresh         0.89%      40.725us         6.97%     317.823us     158.912us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             2  
                                            aten::copy_         0.85%      38.726us         6.35%     289.482us     144.741us      18.624us        48.58%      18.624us       9.312us           0 B           0 B           0 B           0 B             2  
