-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Runtime Triggered Module Loading        25.79%     580.349ms        25.79%     580.349ms       6.595ms       5.530ms         0.40%       5.530ms      62.836us           0 B           0 B           0 B           0 B            88  
                                    Command Buffer Full        13.20%     296.957ms        13.20%     296.957ms       1.507ms     130.662ms         9.54%     130.662ms     663.261us           0 B           0 B           0 B           0 B           197  
                                        cudaMemcpyAsync         9.34%     210.043ms         9.34%     210.043ms       1.708ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           123  
                                  cudaStreamSynchronize         9.25%     208.049ms         9.25%     208.049ms       5.074ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            41  
                                LLama output generation         7.47%     168.126ms        64.76%        1.457s        1.457s       0.000us         0.00%     622.209ms     622.209ms           0 B         -32 B      27.88 MB      -1.90 GB             1  
                                       cudaLaunchKernel         6.73%     151.394ms        36.26%     815.924ms      35.054us       0.000us         0.00%     135.280ms       5.812us           0 B           0 B           0 B           0 B         23276  
                                               aten::mm         2.88%      64.792ms        17.95%     403.808ms     149.337us        1.290s        94.26%        1.430s     528.798us      98.75 KB      98.75 KB       1.31 GB       1.31 GB          2704  
                                              aten::mul         2.36%      53.054ms         5.73%     128.901ms      30.005us      14.991ms         1.09%      15.199ms       3.538us          64 B          64 B       2.56 GB       2.56 GB          4296  
                                         QKV extraction         1.52%      34.181ms        24.86%     559.441ms     559.441ms       0.000us         0.00%     889.656ms     889.656ms           0 B           0 B       6.83 MB      -3.50 GB             1  
                                            aten::copy_         1.37%      30.816ms        16.16%     363.654ms      79.679us      16.288ms         1.19%      16.478ms       3.610us           0 B           0 B           0 B           0 B          4564  
