-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                      aten::_linalg_svd        44.66%      59.152ms        89.53%     118.589ms      23.718ms      25.836ms        98.63%     367.166ms      73.433ms           0 B         -20 B       1.72 MB     512.50 KB             5  
                       Runtime Triggered Module Loading        15.88%      21.028ms        15.88%      21.028ms     584.100us     181.254ms       691.92%     181.254ms       5.035ms           0 B           0 B           0 B           0 B            36  
                                        cudaMemcpyAsync        12.89%      17.068ms        12.89%      17.068ms     200.795us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            85  
                                       cudaLaunchKernel        10.19%      13.503ms        26.92%      35.663ms      14.057us       0.000us         0.00%     321.162ms     126.591us           0 B           0 B           0 B           0 B          2537  
                                Activity Buffer Request         6.96%       9.222ms         6.96%       9.222ms       1.153ms      10.079us         0.04%      10.079us       1.260us           0 B           0 B           0 B           0 B             8  
                                          ProfilerStep*         2.14%       2.839ms        95.04%     125.889ms      15.736ms       0.000us         0.00%     367.505ms      45.938ms          32 B          32 B       4.66 MB     -15.66 MB             8  
                              cudaStreamCreateWithFlags         1.79%       2.370ms         1.79%       2.370ms     790.043us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             3  
                                  Lazy Function Loading         1.08%       1.432ms         1.08%       1.432ms      36.723us     160.045ms       610.96%     160.045ms       4.104ms           0 B           0 B           0 B           0 B            39  
                                             cudaMalloc         0.68%     902.496us         0.68%     902.496us      69.423us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            13  
                                               aten::mm         0.53%     702.123us         0.83%       1.098ms      57.774us     192.445us         0.73%     225.244us      11.855us           0 B           0 B       5.01 MB       5.01 MB            19  
