--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                       cudaLaunchKernel        33.25%       3.054ms        33.25%       3.054ms       5.977us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           511  
                                Activity Buffer Request        21.66%       1.989ms        21.66%       1.989ms       1.989ms       2.048us         0.05%       2.048us       2.048us           0 B           0 B           0 B           0 B             1  
                                        cudaMemcpyAsync        20.83%       1.914ms        20.83%       1.914ms     112.559us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            17  
                                     PythonDispatchMode         9.38%     861.549us        97.52%       8.958ms     597.228us       0.000us         0.00%       3.881ms     258.717us           0 B           8 B     925.50 KB           0 B            15  
                                      aten::_linalg_svd         5.57%     511.587us       166.27%      15.273ms       7.637ms       3.822ms        98.53%       7.671ms       3.835ms           0 B          -4 B     287.00 KB      64.00 KB             2  
                                               aten::mm         1.95%     179.259us         8.31%     763.028us      95.379us      30.817us         0.79%      61.634us       7.704us           0 B           0 B     568.00 KB     284.00 KB             8  
                                         aten::_softmax         0.74%      67.946us         1.65%     151.222us      75.611us       3.264us         0.08%       6.528us       3.264us           0 B           0 B     196.00 KB      98.00 KB             2  
                                            aten::copy_         0.64%      58.551us         1.33%     122.457us      24.491us      10.112us         0.26%      10.112us       2.022us           0 B           0 B           0 B           0 B             5  
                                            aten::fill_         0.47%      43.573us        28.74%       2.640ms     879.909us       4.992us         0.13%       7.040us       2.347us           0 B           0 B           0 B           0 B             3  
                                            aten::slice         0.45%      41.615us         2.44%     223.733us      37.289us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             6  
                                              aten::div         0.45%      40.896us         1.59%     145.874us      72.937us       1.824us         0.05%       3.648us       1.824us          -8 B          -8 B     196.00 KB      98.00 KB             2  
