--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                Activity Buffer Request        57.28%       1.974ms        57.28%       1.974ms       1.974ms       1.313us         5.26%       1.313us       1.313us           0 B           0 B           0 B           0 B             1  
                                       cudaLaunchKernel        15.85%     545.898us        15.85%     545.898us      60.655us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             9  
                                     PythonDispatchMode        14.69%     506.022us        95.74%       3.298ms     412.288us       0.000us         0.00%      26.274us       3.284us           0 B           8 B     667.00 KB           0 B             8  
                                               aten::mm         2.83%      97.587us        12.36%     425.935us     106.484us      14.752us        59.10%      29.504us       7.376us           0 B           0 B     354.00 KB     177.00 KB             4  
                                         aten::_softmax         1.88%      64.779us         4.35%     149.872us      74.936us       2.912us        11.67%       5.824us       2.912us           0 B           0 B     196.00 KB      98.00 KB             2  
                                             aten::full         1.55%      53.412us       149.03%       5.134ms       2.567ms       0.000us         0.00%       5.252us       2.626us           0 B           0 B     196.00 KB           0 B             2  
                                              aten::div         1.21%      41.842us         4.86%     167.317us      83.659us       1.664us         6.67%       3.328us       1.664us          -8 B          -8 B     196.00 KB      98.00 KB             2  
                                            aten::empty         0.98%      33.689us         0.98%      33.689us      33.689us       0.000us         0.00%       0.000us       0.000us           0 B           0 B      98.00 KB      98.00 KB             1  
                                             aten::triu         0.92%      31.691us         4.20%     144.674us      72.337us       2.752us        11.03%       5.504us       2.752us           0 B           0 B     196.00 KB      98.00 KB             2  
                                              aten::add         0.81%      28.066us         3.36%     115.638us      57.819us       1.568us         6.28%       3.136us       1.568us           0 B           0 B     196.00 KB      98.00 KB             2  
                                            aten::fill_         0.50%      17.131us        70.76%       2.438ms       2.438ms       1.313us         5.26%       2.626us       2.626us           0 B           0 B           0 B           0 B             1  
