--- Iteration 0 ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                       Runtime Triggered Module Loading        32.83%       9.069ms        32.83%       9.069ms       1.134ms     418.556us         5.44%     418.556us      52.319us           0 B           0 B           0 B           0 B             8  
                                        cudaMemcpyAsync        18.12%       5.007ms        18.12%       5.007ms     135.317us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            37  
                                       cudaLaunchKernel        18.02%       4.977ms        52.19%      14.418ms      14.066us       0.000us         0.00%     944.726us       0.922us           0 B           0 B           0 B           0 B          1025  
                                     PythonDispatchMode         9.59%       2.649ms        96.95%      26.782ms       1.116ms       0.000us         0.00%       8.664ms     361.018us           0 B          40 B     644.00 KB           0 B            24  
                                Activity Buffer Request         5.43%       1.501ms         5.43%       1.501ms       1.501ms       1.472us         0.02%       1.472us       1.472us           0 B           0 B           0 B           0 B             1  
                                      aten::_linalg_svd         3.73%       1.031ms        89.76%      24.797ms       6.199ms       7.500ms        97.40%      15.046ms       3.762ms           0 B          -8 B     574.00 KB     127.50 KB             4  
                                  Lazy Function Loading         1.90%     524.277us         1.90%     524.277us      40.329us     543.930us         7.06%     543.930us      41.841us           0 B           0 B           0 B           0 B            13  
                              aten::linalg_lu_factor_ex         1.77%     488.541us        20.51%       5.667ms       5.667ms      69.471us         0.90%     765.557us     765.557us           0 B           0 B           0 B           0 B             1  
                                               aten::mm         1.18%     326.813us         6.28%       1.735ms     173.528us      42.208us         0.55%     119.936us      11.994us           0 B           0 B     331.00 KB     165.50 KB            10  
                                  aten::linalg_lu_solve         0.80%     220.765us        16.33%       4.512ms       4.512ms      35.168us         0.46%     285.280us     285.280us           0 B           0 B           0 B        -512 B             1  
