page,method,threshold,k,rel_mse
1,method_1,0.5,2,0.21693949401378632
1,method_1,0.51,2,0.21693949401378632
1,method_1,0.52,2,0.21693949401378632
1,method_1,0.53,2,0.21693949401378632
1,method_1,0.54,3,0.1939784586429596
1,method_1,0.55,3,0.1939784586429596
1,method_1,0.56,3,0.1939784586429596
1,method_1,0.5700000000000001,3,0.1939784586429596
1,method_1,0.58,3,0.1939784586429596
1,method_1,0.59,4,0.16384868323802948
1,method_1,0.6,4,0.16384868323802948
1,method_1,0.61,4,0.16384868323802948
1,method_1,0.62,5,0.16325579583644867
1,method_1,0.63,5,0.16325579583644867
1,method_1,0.64,5,0.16325579583644867
1,method_1,0.65,6,0.15228940546512604
1,method_1,0.66,6,0.15228940546512604
1,method_1,0.67,7,0.14107556641101837
1,method_1,0.6799999999999999,7,0.14107556641101837
1,method_1,0.69,8,0.1383971869945526
1,method_1,0.7,8,0.1383971869945526
1,method_1,0.71,9,0.14004799723625183
1,method_1,0.72,9,0.14004799723625183
1,method_1,0.73,10,0.1436724215745926
1,method_1,0.74,11,0.1418183445930481
1,method_1,0.75,11,0.1418183445930481
1,method_1,0.76,12,0.1413639932870865
1,method_1,0.77,13,0.13511121273040771
1,method_1,0.78,14,0.1299828290939331
1,method_1,0.79,15,0.1404866725206375
1,method_1,0.8,15,0.1404866725206375
1,method_1,0.81,16,0.10417161881923676
1,method_1,0.8200000000000001,18,0.09627807885408401
1,method_1,0.8300000000000001,19,0.09299055486917496
1,method_1,0.8400000000000001,20,0.08606473356485367
1,method_1,0.8500000000000001,21,0.08408114314079285
1,method_1,0.86,23,0.08092541992664337
1,method_1,0.87,24,0.07777715474367142
1,method_1,0.88,26,0.07870974391698837
1,method_1,0.89,28,0.0792950764298439
1,method_1,0.9,30,0.05181539058685303
1,method_1,0.91,32,0.05314701795578003
1,method_1,0.9199999999999999,35,0.04486464709043503
1,method_1,0.9299999999999999,37,0.03814738988876343
1,method_1,0.94,41,0.031163640320301056
1,method_1,0.95,44,0.027120234444737434
1,method_1,0.96,49,0.023435987532138824
1,method_1,0.97,55,0.02241649478673935
1,method_1,0.98,63,0.013823101297020912
1,method_1,0.99,76,0.0067036449909210205
1,method_2,0.5,6,0.24350637197494507
1,method_2,0.51,6,0.24350637197494507
1,method_2,0.52,7,0.23742569983005524
1,method_2,0.53,7,0.23742569983005524
1,method_2,0.54,7,0.23742569983005524
1,method_2,0.55,7,0.23742569983005524
1,method_2,0.56,8,0.21048274636268616
1,method_2,0.5700000000000001,8,0.21048274636268616
1,method_2,0.58,9,0.20087312161922455
1,method_2,0.59,9,0.20087312161922455
1,method_2,0.6,9,0.20087312161922455
1,method_2,0.61,10,0.20192348957061768
1,method_2,0.62,10,0.20192348957061768
1,method_2,0.63,11,0.18720252811908722
1,method_2,0.64,11,0.18720252811908722
1,method_2,0.65,12,0.18920548260211945
1,method_2,0.66,12,0.18920548260211945
1,method_2,0.67,13,0.1838286817073822
1,method_2,0.6799999999999999,13,0.1838286817073822
1,method_2,0.69,14,0.1792021244764328
1,method_2,0.7,15,0.18823209404945374
1,method_2,0.71,15,0.18823209404945374
1,method_2,0.72,16,0.157212495803833
1,method_2,0.73,17,0.15121567249298096
1,method_2,0.74,17,0.15121567249298096
1,method_2,0.75,18,0.14619216322898865
1,method_2,0.76,19,0.1398494839668274
1,method_2,0.77,20,0.13341137766838074
1,method_2,0.78,21,0.1310918629169464
1,method_2,0.79,22,0.12405616044998169
1,method_2,0.8,23,0.12006806582212448
1,method_2,0.81,24,0.11697231978178024
1,method_2,0.8200000000000001,25,0.11410877108573914
1,method_2,0.8300000000000001,26,0.1146187037229538
1,method_2,0.8400000000000001,28,0.11340031027793884
1,method_2,0.8500000000000001,29,0.10373485833406448
1,method_2,0.86,31,0.08673061430454254
1,method_2,0.87,33,0.08684368431568146
1,method_2,0.88,34,0.07948107272386551
